BOR;AN;FI;FI_EJ;DISCI;DIREC;DIRSOIN;ADMIN;ADMTO;CADRE;INFNS;INFSP;AIDES;ASHAU;PSYCH;SAGFE;REEDU;SOITO;EDUCS;ASSIS;EDUTO;PHLAB;TECHN;ETPPNM
Q24;2024;050000256;050000124;2000;;;5.74;5.74;1.51;26.69;;31.16;13.09;0.38;0.96;3.41;77.2;;;;5.66;;88.6
Q24;2024;050000256;050000124;2100;;;4.73;4.73;0.5;11.27;;3.69;0.57;0.1;0.96;;17.09;;;;5.66;;27.48
Q24;2024;050000256;050000124;2400;;;0.4;0.4;0.4;9.46;;11.46;4.25;0.2;;2.75;28.52;;;;;;28.92
Q24;2024;050000256;050000124;2500;;;0.61;0.61;0.61;5.96;;16.01;8.27;0.08;;0.66;31.59;;;;;;32.2
Q24;2024;050000256;050000124;9999;1;0.1;29.87;30.97;2.28;27.51;;33.2;14.27;0.38;0.96;4.46;83.06;;0.83;0.83;5.72;44.3;164.88
Q24;2024;050000298;050009067;2000;2;;4.11;6.11;;5.94;;2;3.69;0.12;;2.25;14;10.79;0.1;10.89;;2.22;33.22
Q24;2024;050000298;050009067;2100;;;;;;;;2;;;;;2;;;;;;2
Q24;2024;050000298;050009067;2400;2;;4.11;6.11;;5.94;;;3.69;0.12;;2.25;12;10.79;0.1;10.89;;2.22;31.22
Q24;2024;050000298;050009067;9999;2;;4.11;6.11;;5.94;;2;3.69;0.12;;2.25;14;10.79;0.1;10.89;;2.22;33.22
Q24;2024;050000348;050002948;1000;3.23;1;110.12;114.35;5.95;18.06;3.21;23.71;11.71;0.03;1.02;3.72;67.41;1.92;3.73;5.65;6.66;147.8;341.87
Q24;2024;050000348;050002948;2000;;;92.05;92.05;14.01;314.74;50.92;272.69;94.74;9.59;21.26;21.37;799.32;1.72;4.6;6.32;84.82;25.48;1007.99
Q24;2024;050000348;050002948;2100;;;88.39;88.39;12.41;280.44;50.92;225.27;76.65;7.06;21.26;16.19;690.2;0.5;3.1;3.6;84.08;23.47;889.74
Q24;2024;050000348;050002948;2300;;;2.6;2.6;0.1;9.83;;5.93;;0.53;;;16.39;;1;1;0.74;2.01;22.74
Q24;2024;050000348;050002948;2400;;;0.61;0.61;0.81;12.11;;17.78;5.32;1;;3;40.02;0.22;0.5;0.72;;;41.35
Q24;2024;050000348;050002948;2500;;;0.45;0.45;0.69;12.36;;23.71;12.77;1;;2.18;52.71;1;;1;;;54.16
