BOR;AN;FI;FI_EJ;DISCI;DIREC;DIRSI;ADMIN;DRSNI;ADMTO;CADRE;INFNS;INFSP;AIDES;ASHAU;PSYCH;SAGFE;REEDU;SOITO;EDUCS;ASSIS;EDUTO;PHLAB;TECHN;ETPPNM
Q24;2022;010000131;010009132;2400;;;0.8;;0.8;0.78;8.71;;6.99;1.77;0.27;;1.43;19.95;0.28;;0.28;;0.28;21.31
Q24;2022;010000131;010009132;9999;0.6;0.3;4.69;;5.59;1;12.81;;11.21;11.94;0.4;;2.08;39.44;0.28;0.49;0.77;0.5;8.13;54.43
Q24;2022;010000180;010007987;1000;0.1;;;;0.1;;;;;;;;;;;;;;0.7;0.8
Q24;2022;010000180;010007987;2000;;;2;;2;1;4.9;;6.14;6.45;2.85;;0.2;21.54;;0.8;0.8;;;24.34
Q24;2022;010000180;010007987;2100;;;;;;0.2;0.9;;0.9;0.8;0.5;;;3.3;;;;;;3.3
Q24;2022;010000180;010007987;2400;;;2;;2;0.8;4;;5.24;5.65;2.35;;0.2;18.24;;0.8;0.8;;;21.04
Q24;2022;010000180;010007987;9999;0.1;;2;;2.1;1;4.9;;6.14;6.45;2.85;;0.2;21.54;;0.8;0.8;;0.7;25.14
Q24;2022;010000198;010007987;1000;;;;;;;;;;;;;;;;;;;2.2;2.2
Q24;2022;010000198;010007987;2000;0.1;;4.75;;4.85;1;7.54;;8.4;14.45;0.3;;10.65;42.34;;0.2;0.2;;;47.39
Q24;2022;010000198;010007987;2400;0.1;;4.75;;4.85;1;7.54;;8.4;14.45;0.3;;10.65;42.34;;0.2;0.2;;;47.39
Q24;2022;010000198;010007987;9999;0.1;;4.75;;4.85;1;7.54;;8.4;14.45;0.3;;10.65;42.34;;0.2;0.2;;2.2;49.59
Q24;2022;010000214;010007987;1000;;;24.21;;24.21;1;;;;;1;;;2;;;;;58.75;84.96
Q24;2022;010000214;010007987;2000;0.7;;5.32;;6.02;7.5;48.7;0.5;67.95;40.65;3.45;;14.52;183.27;;1.45;1.45;6.38;;197.12
Q24;2022;010000214;010007987;2100;0.05;;1.48;;1.53;0.5;5.32;;7.15;5;0.5;;3;21.47;;0.35;0.35;;;23.35
Q24;2022;010000214;010007987;2400;0.65;;3.84;;4.49;7;43.38;0.5;60.8;35.65;2.95;;11.52;161.8;;1.1;1.1;6.38;;173.77
Q24;2022;010000214;010007987;9999;0.7;;29.53;;30.23;8.5;48.7;0.5;67.95;40.65;4.45;;14.52;185.27;;1.45;1.45;6.38;58.75;282.08
Q24;2022;010000495;010783009;1000;8.62;;72.15;;80.77;12.64;31.26;;7.99;20.78;3.18;;4.45;80.3;1.83;1.21;3.04;3.62;66.33;234.06
Q24;2022;010000495;010783009;2000;;;47.3;;47.3;32.53;356.97;2.82;87.86;74.75;55.95;;13.99;624.87;29.57;22.44;52.01;;0.22;724.4
