1er jour de la semaine,Semaine,Classe d'âge,Taux de passages aux urgences pour COVID-19,Taux d'hospitalisations après passages aux urgences pour COVID-19,Taux d'actes médicaux SOS médecins pour COVID-19
2021-07-26,2021-S30,05-14 ans,366.48015445,355.3099092,2714.384509
2021-07-26,2021-S30,65 ans ou plus,1475.7144601,2733.0523115,1755.3901927
2021-07-26,2021-S30,Tous âges,1773.4586682,3729.3615056,3714.3300248
2021-08-02,2021-S31,00-04 ans,627.000627,1715.6054108,996.12617598
2021-08-02,2021-S31,05-14 ans,375.00450727,402.57648953,3513.9379662
2021-08-02,2021-S31,15-64 ans,2766.6963393,6818.6427615,4891.6359392
2021-08-02,2021-S31,Tous âges,2198.34621,4884.8332711,3814.336756
2021-08-09,2021-S32,05-14 ans,531.43136844,833.68070029,3004.9751244
2021-08-16,2021-S33,15-64 ans,2636.3249727,7079.4730464,4421.6706419
2021-08-16,2021-S33,Tous âges,2253.4582776,5393.5428722,3578.4866154
2021-08-23,2021-S34,65 ans ou plus,2236.9961532,4161.5667075,2358.8137418
2021-08-23,2021-S34,Tous âges,1904.9565861,4590.6950336,3407.5778746
2021-08-30,2021-S35,00-04 ans,595.02213192,1192.4478304,1270.7581227
2021-09-06,2021-S36,Tous âges,1032.670377,2608.8214492,2304.9387387
2021-09-13,2021-S37,15-64 ans,835.25650526,2212.2309314,2665.7338609
2021-09-13,2021-S37,65 ans ou plus,1055.4911005,1942.4435872,1245.7531144
2021-09-13,2021-S37,Tous âges,734.43311497,1861.2548512,2110.2199786
2021-09-20,2021-S38,65 ans ou plus,901.88806473,1615.5785563,1148.0648597
2021-09-27,2021-S39,05-14 ans,140.00949217,263.50461133,1452.8703047
2021-09-27,2021-S39,15-64 ans,536.86143375,1379.4498382,2241.9919024
2021-09-27,2021-S39,65 ans ou plus,711.29299425,1216.0959694,1250.4341785
2021-09-27,2021-S39,Tous âges,467.04752587,1161.510602,1611.9781447
2021-10-04,2021-S40,15-64 ans,451.80722892,1212.5945413,1791.0030083
2021-10-11,2021-S41,65 ans ou plus,670.44100119,1214.7172586,1316.711024
2021-10-11,2021-S41,Tous âges,407.32389898,1087.5348168,1363.4811454
2021-10-18,2021-S42,05-14 ans,57.800683975,110.13215859,1222.1203789
2021-10-18,2021-S42,15-64 ans,475.88403571,1333.4979627,2386.6790009
2021-10-18,2021-S42,65 ans ou plus,795.69201093,1418.6623144,1236.9791667
2021-10-25,2021-S43,15-64 ans,575.50877904,1725.0973845,2442.7048948
2021-10-25,2021-S43,Tous âges,527.06965843,1455.6040757,1616.1287903
2021-11-08,2021-S45,65 ans ou plus,1331.2440198,2441.4791728,2129.5651309
2021-11-15,2021-S46,00-04 ans,263.11286044,431.40638481,668.1276391
2021-11-15,2021-S46,65 ans ou plus,1658.1101707,2939.1227068,2625.4447307
2021-11-22,2021-S47,65 ans ou plus,2439.7673775,4269.3606906,4200.260078
2021-11-22,2021-S47,Tous âges,1431.0097794,3837.8110378,4738.8085679
2021-11-29,2021-S48,65 ans ou plus,3321.6237844,5741.7001318,4471.8581342
2021-12-06,2021-S49,00-04 ans,449.11319175,741.54178897,1631.4826717
2021-12-06,2021-S49,05-14 ans,538.73304849,626.56641604,5658.6270872
2021-12-06,2021-S49,65 ans ou plus,3867.1023965,6579.7508549,5290.0587784
2021-12-06,2021-S49,Tous âges,2367.3406518,6055.508831,6147.9545038
