BOR;AN;FI;FI_EJ;PSY_A22;PSY_A23;PSY_A24;PSY_A25;PSY_A26;PSY_A27;PSY_A28;PSY_B23;PSY_B24;PSY_B25;PSY_B26;PSY_B27;PSY_B28;PSY_C22;PSY_C23;PSY_C24;PSY_C25;PSY_C26;PSY_C27;PSY_C28;PSY_D22;PSY_D23;PSY_D24;PSY_D25;PSY_D26;PSY_D27;PSY_D28;PSY_E22;PSY_E23;PSY_E24;PSY_E25;PSY_E26;PSY_E27;PSY_E28;PSY_A38;PSY_B38;PSY_A39;PSY_B39;PSY_A40;PSY_B40;PSY_A41;PSY_B41;PSY_A42;PSY_B42;PSY_A43
PSY2;2019;310781000;310788880;1705;;;;;;;;;;;;;47328;;;;;;;9774;;;;;;;;;;;;;;0;;1;8;0;;0;;0;;0
PSY2;2019;310781133;310000427;1219;;;;;;;;;;;;;48113;;;;;;;5690;;;;;;;;;;;;;;0;;0;;0;;0;;0;;0
PSY2;2019;310781141;310000435;1298;;;;;;;;;;;;;55841;;;;;;;1905;;;;;;;;;;;;;;0;;0;;0;;0;;0;;0
PSY2;2019;310781158;920031762;1053;;;;;;;;;;;;;47112;;;;;;;4134;;;;;;;;;;;;;;0;;0;;0;23.26;0;;0;;
PSY2;2019;310781430;310788906;120;;;;;;;;;;;;;12518;;;;;;;;;;;;;;;;;;;;;0;;0;;0;;0;;0;;0
PSY2;2019;310782446;;3804;;;;;;;;;;;;;;;;;;;;6411;;;;;;;55947;;;;;;;0;;0;;1;25.14;0;;0;;0
PSY2;2019;310783063;310781406;582;8;5;;;165;10;10;5;;;191;11;18610;654;772;;;9007;462;12337;0;4;;;49;0;67169;60;83;;;301;19;0;;1;3.9;1;10.1;0;;0;;0
PSY2;2019;310783097;750005068;169;;;;;;;;;;;;;;;;;;;;9673;;;;;;;;;;;;;;0;;0;;0;;0;;0;;0
PSY2;2019;310795463;310785068;76;;;;;;;;;;;;;4417;;;;;;;3823;;;;;;;;;;;;;;0;;0;;0;;0;;0;;0
PSY2;2019;320000094;320780125;5367;67;;0;0;125;153;68;;;;119;188;53489;2975;0;0;0;5501;4839;9314;53;0;0;0;257;8;50962;1053;0;0;0;682;436;1;0.5;1;33.8;1;23.4;0;;0;;0
PSY2;2019;320780109;320000078;580;;;;;;;;;;;;;23165;;;;;;;;;;;;;;;;;;;;;0;;0;;0;;0;;0;;0
PSY2;2019;330000431;;204;;;;;;;;;;;;;22185;;;;;;;1057;;;;;;;0;;;;;;;0;;0;;0;;0;;0;;0
PSY2;2019;330000639;330781287;24683;382;12;13;;952;103;5486;110;92;;3514;372;120256;17108;648;136;;33377;3225;33018;730;172;;;396;27;197145;5058;208;63;;2184;206;1;2.38;1;31.57;1;33.95;0;;1;18.43;0
PSY2;2019;330000647;330781295;1574;320;41;2;122;665;123;326;41;2;137;697;128;78304;34654;6242;19;5895;24811;5047;26422;771;109;0;0;976;2;151940;4822;172;0;73;6989;1183;0;;1;36.14;1;22.26;1;202.2;0;;1
PSY2;2019;330000779;;146;;;;;;;;;;;;;;;;;;;;13360;;;;;;;5584;;;;;;;0;;0;;0;;0;;0;;0
PSY2;2019;330058504;330059825;196;;;;;;;;;;;;;0;;;;;;;5070;;;;;;;;;;;;;;0;;0;;0;;0;;0;;0
PSY2;2019;330780289;330790809;38;;;;;;;;;;;;;;;;;;;;4951;;;;;;;;;;;;;;0;;0;;0;;0;;0;;0
PSY2;2019;330780297;330000175;508;;;;;;;;;;;;;13415;;;;;;;7543;;;;;;;;;;;;;;0;;0;;0;;0;;0;;0
PSY2;2019;330780313;330000191;624;;;;;;;;;;;;;30007;;;;;;;;;;;;;;;;;;;;;0;;0;;0;;0;;0;;0
PSY2;2019;330780321;330000209;865;;;;;;;;;;;;;22335;;;;;;;5693;;;;;;;;;;;;;;0;;0;;1;6.02;0;;0;;0
PSY2;2019;330780636;330785072;1920;;;;;;;;;;;;;;;;;;;;;;;;;;;26458;;;;;;;0;;0;;1;5.89;0;;0;;0
PSY2;2019;330780776;330056839;412;;;;;;;;;;;;;29530;;;;;;;;;;;;;;;;;;;;;0;;0;;0;;0;;0;;0
PSY2;2019;330781170;330785072;94;;;;;;;;;;;;;13029;;;;;;;289;;;;;;;;;;;;;;0;;0;;0;;0;;0;;0
PSY2;2019;330781188;330056540;347;;;;;;;;;;;;;6303;;;;;;;6129;;;;;;;;;;;;;;0;;;;0;;0;;0;;0
PSY2;2019;330781303;750821092;1885;0;0;0;0;0;0;0;0;0;0;0;0;3506;0;0;0;0;0;0;0;0;0;0;0;0;0;5690;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
PSY2;2019;330782350;330000480;86;;;;;;;;;;;;;7864;;;;;;;;;;;;;;;;;;;;;0;;0;;0;;0;;0;;0
PSY2;2019;330783614;330785072;191;;;;;;;;;;;;;;;;;;;;8779;;;;;;;;;;;;;;0;;0;;1;;0;;0;;0
PSY2;2019;330783721;330781253;6489;78;0;0;0;214;39;31;0;0;0;119;17;42116;3144;0;0;0;6390;637;;;;;;;;57570;1170;0;11;1;2636;366;;;;;1;;0;;0;;0
PSY2;2019;330783960;750005068;448;;;;;;;;;;;;;;;;;;;;13757;;;;;;;1670;;;;;;;0;;0;;0;;0;;0;;0
PSY2;2019;330802752;330781196;109;;;4;;;;;;4;;;;2421;;;61;;;;577;;;12;;;;327;;;;;;;0;;0;;1;32.63;0;;0;;0
PSY2;2019;340000033;340780055;3820;26;0;;21;82;34;1;0;;2;5;1;3770;3;0;;6;6;0;;;;;;;;6751;45;3;;9;263;118;1;1.75;1;4.57;1;2.5;0;;0;;0
PSY2;2019;340000223;340011295;273;7;;;;55;7;7;;;;55;7;7821;;;;;;;3053;;;;;;;;;;;;;;1;;1;;0;;0;;0;;0
PSY2;2019;340010149;340010099;275;;;;;;;;;;;;;24058;;;;;;;4394;;;;;;;;;;;;;;0;;0;;0;;0;;0;;0
PSY2;2019;340016732;340780055;5717;95;3;;33;305;119;150;4;;40;430;120;23733;4871;365;;231;10032;3377;16244;316;62;;;516;300;48769;1386;58;;76;1841;1105;1;1.5;1;4.57;1;2.5;0;;;;0
PSY2;2019;340780121;340000082;538;;;;;;;;;;;;;40782;;;;;;;10219;;;;;;;;;;;;;;0;;0;;0;;0;;0;;0
PSY2;2019;340780485;340780477;18165;194;26;0;65;998;266;283;32;0;127;1648;503;31367;8743;1098;0;1472;29706;8097;37121;2078;1160;0;122;5193;1251;154910;3979;1873;0;93;18479;3680;1;0.2;0;;1;33;1;32.3;0;;0
PSY2;2019;340780758;340000355;1048;;;;;;;;;;;;;67303;;;;;;;7094;;;;;;;;;;;;;;0;;0;;0;;0;;0;;0
PSY2;2019;340780766;920030269;725;;;;;;;;;;;;;42183;;;;;;;;;;;;;;;;;;;;;0;;0;;1;18.41;0;;0;;
PSY2;2019;340780782;340000371;812;;;;;;;;;;;;;60160;;;;;;;;;;;;;;;;;;;;;0;;0;;0;;0;;0;;0
PSY2;2019;340780790;340000389;511;;;;;;;;;;;;;25706;;;;;;;;;;;;;;;;;;;;;0;;1;73.26;0;;0;;0;;0
PSY2;2019;340780931;340000454;280;;;;;;;;;;;;;32705;;;;;;;5392;;;;;;;;;;;;;;0;;0;;;;0;;0;;
PSY2;2019;340782036;340780477;3253;;;;;;;;;;;;;2748;;;;;;;6165;;;;;;;14585;;;;;;;1;0.05;0;;1;30.35;0;;0;;0
PSY2;2019;340787266;340011295;1039;;;;;;;;;;;;;48;;;;;;;2445;;;;;;;12884;;;;;;;1;0.2;0;;1;10;0;;0;;0
PSY2;2019;350000147;350000022;6722;27;2;1;0;129;56;7;2;1;2;108;52;23836;741;0;18;0;5279;2185;7906;54;0;0;0;135;41;67522;557;45;0;0;1256;150;1;;0;;1;17.24;0;;0;;0
PSY2;2019;350000162;350000048;2706;20;3;;;92;;6;1;;;60;7;6034;427;137;;;1704;;1437;35;;;;124;;18700;313;61;;;376;;1;1.63;0;;0;;0;;0;;0
PSY2;2019;350000337;350000246;26065;256;13;7;20;788;359;360;40;9;23;927;440;166945;15029;2090;114;489;24280;13904;48900;1981;0;;3;1157;138;297502;97;9;;5;213;25;1;;1;;1;;0;;1;;1
PSY2;2019;350002119;350000386;513;;;;;;;;;;;;;30761;;;;;;;5115;;;;;;;;;;;;;;0;;0;;0;;0;;0;;0
PSY2;2019;350002176;350000402;819;;;;;;;;;;;;;28111;;;;;;;5774;;;;;;;;;;;;;;0;;0;;0;;0;;0;;0
PSY2;2019;350002192;220020739;781;;;;;;;;;;;;;28705;;;;;;;1981;;;;;;;;;;;;;;0;;1;0.2;0;;0;;0;;0
PSY2;2019;350002234;750720575;63;;;;;;;;;;;;;2224;;;;;;;2000;;;;;;;;;;;;;;;;;;;;0;;0;;0
PSY2;2019;350002754;440042844;89;;;;;;;;;;;;;;;;;;;;12051;;;;;;;1059;;;;;;;0;;0;;0;;0;;0;;0
PSY2;2019;350039574;350023495;87;;;;;;;;;;;;;;;;;;;;1133;;;;;;;2126;;;;;;;0;;0;;0;;0;;0;;0
PSY2;2019;360000137;360000053;4654;30;2;;9;286;27;8;;;9;161;30;33473;1973;365;;33;9712;1014;1869;;;;;1;;61035;753;42;;29;4210;398;1;;0;;0;;0;;0;;0
PSY2;2019;360000210;920031036;370;;;;;;;;;;;;;21951;;;;;;;3242;;;;;;;;;;;;;;0;;0;;0;;0;;0;;0
PSY2;2019;370000127;370000259;895;;;;;;;;;;;;;31259;;;;;;;11049;;;;;;;;;;;;;;0;;1;;0;;0;;0;;0
PSY2;2019;370000143;370000291;504;;;;;;;;;;;;;21388;;;;;;;4248;;;;;;;;;;;;;;0;;0;;0;;0;;0;;0
PSY2;2019;370000499;370000481;1628;;;;;;;;;;;;;;;;;;;;;;;;;;;17430;;;;;;;;;;;;;0;;0;;0
PSY2;2019;370000531;370000606;2591;12;0;0;0;48;9;12;;;;48;9;28656;261;0;0;0;1486;283;;;;;;;;34930;214;0;0;0;468;48;1;;1;;1;14.78;0;;0;;0
PSY2;2019;370000580;370000564;1120;15;1;;;62;5;15;1;;;73;6;11791;839;2;;;3369;277;2654;201;;;;242;;7221;103;;;;183;;0;;0;;0;;0;;0;;0
PSY2;2019;370000861;370000481;1540;17;;;;129;10;15;;;;116;13;10265;1491;;;;5033;494;11996;79;;;;415;;17766;111;;;;936;2;0;;0;;0;;0;;0;;0
PSY2;2019;370000879;370000564;1541;;2;;;5;;;2;;;5;;;;;;;;;3296;;176;;;126;;15970;;;;;;;;;;;;;0;;0;;0
PSY2;2019;370000903;370000614;1022;2;;1;;20;11;2;;1;;20;11;;;;;;;;3703;0;;0;;64;0;9180;9;;1;;128;46;1;1;0;0;0;0;0;;0;;0
PSY2;2019;370004467;370000481;1908;24;3;;1;182;26;25;2;;1;254;31;22990;2003;405;;42;8800;1104;11798;;;;;560;14;38589;79;1;;;359;17;1;;0;;0;;0;;0;;0
PSY2;2019;370005050;370000481;2459;16;3;5;1;154;16;16;1;1;1;185;14;12298;1151;149;14;2;5249;181;;;;;;;;16847;29;2;5;;30;5;0;;1;;1;;0;;0;;0
PSY2;2019;370013062;;1030;;;;;;;;;;;;;52837;;;;;;;;;;;;;;;;;;;;;0;;0;;0;;0;;0;;0
PSY2;2019;380000034;380780049;2438;;;;;;;;;;;;;2711;;;;;;;2016;;;;;;;23952;;;;;;;0;;0;;0;;0;;0;;0
PSY2;2019;380000067;380780080;3347;2;;;;19;2;2;;;;21;2;7146;12;;;;971;52;757;;;;;;;8176;1;;;;6;;0;;0;;0;;0;;0;;0
PSY2;2019;380000133;380780247;17801;285;10;14;15;670;236;295;15;12;17;634;247;59214;14095;641;33;287;28927;11540;29045;213;;;;1519;101;248917;5831;461;34;14;7587;2139;1;;1;28.25;1;54.99;0;;1;21.79;0
PSY2;2019;380780296;380021550;1312;;;;;;;;;;;;;49704;;;;;;;0;;;;;;;;;;;;;;0;;1;19.65;0;;0;;0;;0
PSY2;2019;380780312;750720575;368;;;;;;;;;;;;;27271;;;;;;;4656;;;;;;;87;;;;;;;0;;0;;0;;0;;0;;
PSY2;2019;380784462;750005068;280;;;;;;;;;;;;;251;;;;;;;7704;;;;;;;1421;;;;;;;0;;0;;0;;0;;0;;0
PSY2;2019;380794297;;7108;74;3;;;280;118;74;3;;;325;141;37281;4217;387;;;9268;2781;12207;185;;;;140;98;64938;812;27;;;603;200;0;;1;1.98;1;1.8;0;;0;;0
PSY2;2019;380795773;380795765;234;;;;;;;;;;;;;;;;;;;;97;;;;;;;4316;;;;;;;0;;0;;0;;0;;0;;0
PSY2;2019;390000164;390780476;8212;34;8;2;2;264;193;34;8;2;2;292;202;61567;2796;1121;19;14;14437;7288;28674;213;204;0;0;917;396;77476;235;181;5;1;759;337;1;1.8;1;76.05;1;46.74;0;0;0;;0
PSY2;2019;400000105;400780193;4757;4;;;;37;8;4;;;;39;8;2985;87;;;;1504;403;6742;0;;;;0;4;44763;0;;;;0;0;1;6.17;1;6.88;1;8.86;0;;0;;0
PSY2;2019;400000113;400011177;8845;44;;;21;297;54;81;;;23;384;67;45562;4357;;;170;12251;1255;11921;101;;;;344;98;85676;;;;;;;1;;1;;1;;0;;0;;0
PSY2;2019;400014072;400014064;149;;;;;;;;;;;;;;;;;;;;5473;;;;;;;;;;;;;;0;;0;;0;;0;;;;0
PSY2;2019;400780367;750720575;317;;;;;;;;;;;;;15424;;;;;;;2431;;;;;;;1354;;;;;;;0;;0;;0;;0;;0;;0
PSY2;2019;400780375;400013801;736;;;;;;;;;;;;;22699;;;;;;;7268;;;;;;;;;;;;;;0;;0;;0;;0;;0;;0
PSY2;2019;410000020;410000087;3483;32;1;1;309;146;24;33;4;1;1;200;23;10751;2313;335;0;0;6377;1063;3487;73;0;0;0;370;124;34998;184;0;2;1508;1274;360;1;0.8;0;;1;6.88;0;;0;;0
PSY2;2019;410000046;410000103;2096;9;;11;;30;11;7;;0;;46;5;16349;544;;297;;1233;334;5379;;;;;88;;17581;;;206;;51;48;0;;0;;0;;0;;0;;0
PSY2;2019;410000277;410000467;433;;;;;;;;;;;;;37714;;;;;;;11183;;;;;;;;;;;;;;0;;0;;0;;0;;0;;0
PSY2;2019;410000293;410000491;237;;;;;;;;;;;;;37501;;;;;;;9936;;;;;;;;;;;;;;0;;0;;0;;0;;0;;0
PSY2;2019;410000475;;288;;;;;;;;;;;;;18950;;;;;;;6967;;;;;;;;;;;;;;0;;0;;1;;0;;0;;0
PSY2;2019;410003768;410000095;1070;33;5;;;24;7;33;5;;;24;7;9057;471;0;;;1421;80;6279;43;0;;;28;28;5017;42;19;;;15;5;1;3;0;;0;;0;;0;;0
PSY2;2019;420000010;420780033;5219;42;;;;130;25;248;;;;1179;78;8388;2085;;;;4280;519;9065;365;;;;312;0;53513;0;;;;12;0;1;;1;2.79;1;3.96;0;;0;;0
PSY2;2019;420000226;420013831;2319;31;13;0;0;91;3;15;;0;0;99;7;9614;690;0;0;0;2203;71;5145;0;0;0;0;0;0;19256;275;41;10;1;137;3;0;;0;;0;;0;;0;;0
PSY2;2019;420781767;420000523;516;;;;;;;;;;;;;24362;;;;;;;;;;;;;;;;;;;;;0;;0;;0;;0;;0;;0
PSY2;2019;420782559;420784878;1439;21;0;1;0;26;7;;;;;;;13409;824;0;77;0;2257;248;8011;130;;;;43;;8863;;;;;;;0;;0;;1;5.6;0;;0;;0
PSY2;2019;420782567;420784878;2241;61;;;1;34;0;;0;0;;;0;;;;;;;;4645;311;;;;157;;18485;780;;;30;246;;0;;1;5.15;0;;0;;0;;0
PSY2;2019;420783102;420000929;255;;;;;;;;;;;;;14954;;;;;;;;;;;;;;;;;;;;;0;;0;;0;;0;;0;;0
PSY2;2019;420785354;420784878;10351;100;3;2;369;342;60;;;;;;;35431;5233;21;37;200;10348;1461;9215;303;;;;296;;82486;19;6;;1502;21;;1;56.92;0;;0;;0;;0;;0
PSY2;2019;420788440;420001794;900;;;;;;;;;;;;;;;;;;;;8267;;;;;;;;;;;;;;0;;0;;0;;0;;0;;0
PSY2;2019;420790081;750056335;635;;;;;;;;;;;;;27105;;;;;;;;;;;;;;;;;;;;;0;;0;;0;;0;;0;;0
PSY2;2019;430000026;630786754;7288;47;6;4;13;245;49;47;7;4;12;258;54;43732;3218;71;40;80;13630;2918;24866;188;118;;;844;166;71908;527;103;17;44;2363;450;1;0.5;1;67.45;1;21.11;0;;0;;0
PSY2;2019;440000180;440000263;7739;44;1;2;4;290;79;46;1;2;4;289;84;59888;2601;257;57;28;11360;2141;14326;565;55;;;1187;132;76970;777;;2;;2543;776;0;;1;40.2;1;10.78;0;;0;;0
PSY2;2019;440000800;440001246;673;;;;;;;;;;;;;20571;;;;;;;4751;;;;;;;;;;;;;;0;;0;;0;;0;;0;;0
PSY2;2019;440001972;440003309;8417;38;5;5;3;259;62;715;183;30;6;3490;612;29520;1976;347;25;27;6788;2330;12499;234;38;2;0;1029;193;74610;525;121;26;0;2868;453;0;;1;8.67;1;13.54;0;;0;;0
PSY2;2019;440003390;440001998;853;;;;;;;;;;;;;24207;;;;;;;5950;;;;;;;;;;;;;;0;;0;;0;;0;;0;;0
PSY2;2019;440007482;;71;;;;;;;;;;;;;23881;;;;;;;2963;;;;;;;1630;;;;;;;0;;0;;0;;0;;0;;0
PSY2;2019;440007607;440000057;6739;32;1;2;1;247;77;53;1;1;1;337;82;28026;942;4;9;;7523;1700;11178;216;;0;;2436;293;62681;355;6;24;10;1575;438;1;20.8;0;;1;1;0;;0;;0
PSY2;2019;440018729;;1908;;;;;;;;;;;;;4590;;;;;;;1871;;;;;;;36289;;;;;;;0;;0;;1;2.7;0;;0;;0
PSY2;2019;440021392;440000289;19309;137;0;0;0;508;148;1117;0;0;0;1735;788;65535;6031;0;0;0;11386;3163;28223;970;0;0;0;520;131;113921;1722;0;0;0;1745;328;1;4.62;0;;1;56;0;;1;16.09;0
PSY2;2019;450000062;450000104;1502;33;4;;;67;35;34;4;;;74;37;11326;1254;81;;;1415;1010;3038;188;;;;108;19;13825;320;68;;;270;200;1;;0;;0;;0;;0;;0
PSY2;2019;450000252;450000559;578;;;;;;;;;;;;;34574;;;;;;;;;;;;;;;;;;;;;0;;0;;0;;0;;0;;0
PSY2;2019;450000930;450002423;16882;185;8;0;114;396;202;300;14;0;142;467;225;56779;7002;626;0;3837;9356;3753;21909;263;284;0;0;230;311;124654;2091;238;0;18;1171;438;1;2.37;1;28.75;1;35.07;0;;1;20.26;1
PSY2;2019;450011507;;41;;;;;;;;;;;;;2467;;;;;;;3762;;;;;;;;;;;;;;0;;0;;1;;0;;0;;0
PSY2;2019;450018924;450015409;306;;;;;;;;;;;;;28577;;;;;;;;;;;;;;;;;;;;;0;;0;;0;;;;0;;0
PSY2;2019;460785090;;7619;48;1;1;0;121;236;49;1;1;0;131;255;27639;3599;361;14;0;5719;8856;12471;64;0;0;0;56;311;74437;411;0;5;0;666;1036;1;0.28;1;83.73;1;31.95;0;;0;;0
PSY2;2019;470000563;470000381;11996;197;4;1;29;186;223;81;1;4;40;142;204;55491;11698;379;21;627;7272;5360;23970;1236;150;0;0;425;348;119402;2793;49;0;66;852;696;1;0.5;1;45.33;1;61.36;0;;0;;0
PSY2;2019;480000058;480780147;3881;15;1;1;2;53;17;8;1;1;2;59;15;18766;1475;343;15;40;2739;286;6845;88;0;0;0;25;44;43669;107;0;0;0;296;36;1;0.85;1;38.75;1;20.5;0;;0;;0
PSY2;2019;490000106;490000163;13972;153;8;4;20;353;270;161;6;5;20;411;330;76083;7887;463;95;111;9079;6963;14144;262;40;3;0;96;26;170369;1917;302;0;5;713;229;1;0;1;2.16;1;24.14;0;;0;;0
PSY2;2019;490000247;490000130;292;0;0;0;0;0;0;0;0;0;0;0;0;11631;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;0;;0;;0;;0;;0
PSY2;2019;490000635;490000676;6034;15;;;;147;8;44;;;;333;8;19537;438;;;;3394;;8884;517;;;;1180;;55206;14;;;;103;8;1;1;1;10.15;1;1.94;0;;0;;0
PSY2;2019;490001765;490528452;2451;37;;;;40;;28;;;;36;;3749;1617;;;;343;;2744;141;;;;56;;13663;194;;;;126;;1;0.88;1;1.1;1;2.93;0;;0;;0
PSY2;2019;490002979;490535705;181;;;;;;;;;;;;;21858;;;;;;;;;;;;;;;;;;;;;0;;0;;0;;0;;0;;0
PSY2;2019;500000575;500000245;7235;25;;;;60;53;25;;;;65;55;22986;1806;;;;1711;1787;22419;70;;;;675;558;58976;96;;;;208;182;1;;1;18.91;1;4.2;0;;0;;0
PSY2;2019;500010384;;19841;27;3;7;8;207;101;27;3;8;8;224;98;67614;4415;1143;89;66;7114;2358;26999;325;199;0;0;445;96;154789;802;64;7;7;1227;413;1;1.08;0;;1;16.04;0;;0;;0
PSY2;2019;510000219;510000052;16031;218;25;;19;437;59;225;26;0;21;487;67;81773;22237;5048;;331;23394;3076;22247;568;91;;34;735;123;233756;2984;322;;2;2196;354;1;0.78;1;18.64;1;11.6;1;91.99;1;9.96;0
PSY2;2019;510000284;510000615;512;;;;;;;;;;;;;14627;;;;;;;;;;;;;;;;;;;;;0;;0;;0;;0;;0;;0
PSY2;2019;510000813;510000854;50;;;;;;;;;;;;;10183;;;;;;;;;;;;;;;;;;;;;0;;0;;0;;0;;0;;0
PSY2;2019;510002447;510000029;3122;;;;;;;;;;;;;3277;;;;;;;2106;;;;;;;32871;;;;;;;0;;0;;1;27.7;0;;0;;0
PSY2;2019;510025091;510000052;1719;18;;;;152;21;15;;;;157;22;828;5;;;;177;22;;;;;;;;1967;4;;;;11;1;0;;0;;0;;0;;0;;0
PSY2;2019;520000076;520780081;6355;41;3;2;0;140;143;35;3;2;;108;121;37183;1735;780;22;;4163;3133;15553;327;150;;;483;382;72334;444;276;5;;953;824;1;0.85;0;;1;94.68;0;;0;;0
PSY2;2019;530000017;530000025;1447;11;;;;38;5;1;;;;35;2;5343;671;;;;1989;137;3087;1073;;;;1627;651;;;;;;;;1;;0;;1;;0;;;;0
PSY2;2019;530000124;530000249;508;;;;;;;;;;;;;21984;;;;;;;;;;;;;;;;;;;;;0;;0;;0;;0;;0;;0
PSY2;2019;530000173;530000074;2813;14;0;0;0;47;20;14;0;0;0;47;20;27333;2345;0;0;0;990;937;6477;297;0;0;0;326;220;31062;706;0;0;0;797;470;1;0.66;0;;0;;0;;0;;0
PSY2;2019;530000264;530000371;690;25;10;2;1;67;18;;;;;;;22594;965;118;81;;3468;490;10293;7;;;;1;;62514;160;23;;2;123;43;1;0.94;0;;0;;0;;0;;0
PSY2;2019;540001070;540000767;213;16;;;;10;0;8;;;;30;5;7437;501;;;;530;;;;;;;;;;;;;;;;1;1;0;;0;;0;;0;;0
PSY2;2019;540001096;570010181;172;14;;;;38;20;14;;;;38;20;3464;474;;;;718;280;;;;;;;;11894;288;;;;243;23;;;;;;;0;;0;;0
PSY2;2019;540006830;540000767;3000;;;;;8;;;;;;7;;;;;;;;;3581;;;;;;;29561;;;;;42;;;;;;;;0;;0;;0
PSY2;2019;540014073;540000056;28260;70;4;4;123;309;273;79;3;4;143;359;341;92650;2749;595;20;3537;8941;7986;17338;33;0;0;0;95;29;275751;192;1;18;6;311;348;1;6.4;1;42.55;1;89.92;0;;0;;1
PSY2;2019;550000186;550006795;755;;;;;;;;;;;;;1808;;;;;;;4173;;;;;;;8728;;;;;;;1;0.3;0;;1;0.6;0;;0;;0
PSY2;2019;550000251;550000095;4610;29;1;;8;185;38;32;1;;8;190;38;29859;2568;365;;46;6387;931;14607;104;;;;1878;141;35326;271;;;;1479;316;1;0.2;1;0.8;1;;0;;0;;0
PSY2;2019;550003362;550006795;2647;50;;;114;94;15;70;;;0;213;27;8249;2618;;;;4221;539;3240;140;;;;1995;;16992;426;;;433;1508;263;1;0.2;0;;0;;0;;0;;0
PSY2;2019;560000242;560022246;180;;;;;;;;;;;;;29300;;;;;;;;;;;;;;;;;;;;;0;;0;;0;;0;;0;;0
PSY2;2019;560000382;560002032;18126;71;11;;2;558;178;85;10;;2;580;187;65364;6723;1222;;7;33755;6028;34773;221;254;;;1527;221;135022;1662;220;;1662;4483;597;1;1;1;82.85;1;40.57;0;;0;;0
PSY2;2019;560000697;560002677;10340;44;7;1;22;249;62;45;7;1;27;271;64;51996;1703;1349;64;100;9029;1915;20425;348;;;;461;88;93492;547;13;;;2139;233;1;0.9;1;17.93;1;13.52;0;;0;;0
PSY2;2019;560002081;560000416;562;;;;;;;;;;;;;29352;;;;;;;7;;;;;;;;;;;;;;0;;0;;0;;0;;0;;0
PSY2;2019;560002123;920030269;673;;;;;;;;;;;;;28116;;;;;;;;;;;;;;;;;;;;;0;;0;;0;;0;;0;;
PSY2;2019;560002685;750043713;482;;;;;;;;;;;;;15777;;;;;;;1885;;;;;;;1228;;;;;;;0;;0;;0;;0;;0;;0
PSY2;2019;560004277;750721029;60;;;;;;;;;;;;;2163;;;;;;;3135;;;;;;;;;;;;;;0;;0;;0;;0;;0;;0
PSY2;2019;560006991;220017974;4658;;;;;96;;;;;;96;;6495;;;;;;;6230;;;;;228;;42463;;;;;272;;1;0.65;0;;1;3.98;0;;0;;0
PSY2;2019;570000281;570005165;252;;;;;136;16;;;;;262;21;9237;;;;;6077;451;;;;;;;;;;;;;;;0;;0;;0;;0;;0;;0
PSY2;2019;570000349;570005165;322;;;;;16;;;;;;18;;1246;;;;;71;;;;;;;;;;;;;;;;1;1.36;;;;;0;;0;;0
PSY2;2019;570000596;750821092;177;;;;;;;;;;;;;4956;;;;;;;558;;;;;;;4382;;;;;;;0;;0;;0;;0;;0;;0
PSY2;2019;570000885;570000133;8681;18;;;;152;80;20;;;;161;86;39348;3018;;;;5117;1810;16361;147;;;;101;36;69680;224;;;;797;332;1;4.87;1;4.54;1;4.29;0;;1;19.77;0
PSY2;2019;570000893;570000141;8655;288;34;0;27;186;270;332;38;0;38;395;372;63765;42297;6796;0;1924;3422;5271;15366;534;14;0;;97;305;71177;1074;32;0;;525;702;1;1;0;;0;;1;;0;;0
PSY2;2019;570001016;570000513;1613;94;4;1;10;421;201;93;4;1;10;770;212;48995;5121;1228;43;285;15770;7804;;;;;;;;118732;416;1;1;2;5639;523;1;4.61;1;8.82;1;35.45;0;;0;;0
PSY2;2019;570001099;570023630;322;;;;;;;;;;;;;8609;;;;;;;;;;;;;;;;;;;;;0;;0;;0;;0;;0;;0
PSY2;2019;570002287;570001230;597;;;;;;;;;;;;;24389;;;;;;;;;;;;;;;;;;;;;0;;0;;0;;0;;0;;0
PSY2;2019;570010181;;172;14;;;;38;20;14;;;;38;20;3464;474;;;;718;280;;;;;;;;11894;288;;;;243;23;0;;0;;0;;0;;0;;0
PSY2;2019;570015750;570005165;4388;;;;;;;;;;;;;;;;;;;;;;;;;;;52048;;;;;;;0;;0;;0;;0;;0;;0
PSY2;2019;570023309;670014604;73;;;;;;;;;;;;;5433;;;;;;;788;;;;;;;;;;;;;;0;;0;;0;;0;;0;;
PSY2;2019;580780237;580000099;531;;;2;;;;;;2;;;;38284;;;51;;;;;;;;;;;;;;;;;;0;;0;;1;17.45;0;;0;;0
PSY2;2019;580972636;580780971;7490;55;1;1;9;115;125;55;1;1;9;125;132;43452;3603;355;15;73;3204;3419;10977;497;;;;1090;355;70995;794;;;;2122;1019;1;;;;;;0;;0;;0
PSY2;2019;580972693;580780039;2184;;;;;;;;;;;;;;;;;;;;2292;;;;;;;18628;;;;;;;1;0.5;0;;1;13.49;0;;0;;0
PSY2;2019;590000014;590780052;2133;3;1;0;0;62;3;3;1;;;64;3;10971;73;0;0;0;1641;38;4391;0;0;0;0;0;0;18590;33;1;0;0;30;0;0;;0;;0;;0;;0;;0
