BOR;AN;FI;FI_EJ;PERSO;EFFPL;EFFPA;ETP;GAR;AST
CHIRCAR_P;2019;260000013;260000021;M1040;7;;5.99;0;1
CHIRCAR_P;2019;260000013;260000021;N2120;1;0;0.75;;
CHIRCAR_P;2019;260000013;260000021;N2200;10;9;16.11;;
CHIRCAR_P;2019;260000013;260000021;N2310;0;1;0.1;;
CHIRCAR_P;2019;260000013;260000021;N2510;6;7;8.5;;
CHIRCAR_P;2019;260000013;260000021;N4130;3;1;3.8;;
CHIRCAR_P;2019;260000013;260000021;NAUT;5;3;2.98;;
CHIRCAR_P;2019;270000862;270000953;M1040;;5;2;;
CHIRCAR_P;2019;270000862;270000953;M1160;;3;0.5;;
CHIRCAR_P;2019;270000862;270000953;N2200;4;;4;;
CHIRCAR_P;2019;270000862;270000953;N4130;2;;2;;
CHIRCAR_P;2019;270000862;270000953;NAUT;4;;4;;
CHIRCAR_P;2019;280504267;280000134;M1040;6;1;3.12;0;1
CHIRCAR_P;2019;280504267;280000134;N2200;4;1;4.32;;
CHIRCAR_P;2019;280504267;280000134;N2510;2;1;3.13;;
CHIRCAR_P;2019;280504267;280000134;N4130;2;1;2.4;;
CHIRCAR_P;2019;280504267;280000134;NAUT;1;0;1;;
CHIRCAR_P;2019;290000025;290020700;M1040;;2;1.5;1;1
CHIRCAR_P;2019;290000025;290020700;N2200;;5;3.64;;
CHIRCAR_P;2019;290000025;290020700;N2510;;5;0.76;;
CHIRCAR_P;2019;290004324;290000017;M103X;;;;1;
CHIRCAR_P;2019;290004324;290000017;M1040;3;1;3.5;1;1
CHIRCAR_P;2019;290004324;290000017;M2140;;;;;1
CHIRCAR_P;2019;290004324;290000017;N2120;1;;1;;
CHIRCAR_P;2019;290004324;290000017;N2200;11;10;16.48;;
CHIRCAR_P;2019;290004324;290000017;N2510;10;8;14.53;;
CHIRCAR_P;2019;290004324;290000017;NAUT;3;;3.66;;
CHIRCAR_P;2019;290019777;290022508;M103X;7;4;9.82;0;1
CHIRCAR_P;2019;290019777;290022508;M1040;3;;3;0;1
CHIRCAR_P;2019;290019777;290022508;N2320;;11;1.6;;
CHIRCAR_P;2019;290019777;290022508;N4130;3;;3.07;;
CHIRCAR_P;2019;2A0000022;2A0000014;M1040;1;3;2.6;;
CHIRCAR_P;2019;2A0000022;2A0000014;M2140;2;;1.8;;
CHIRCAR_P;2019;2A0000022;2A0000014;N2120;1;;1;;
CHIRCAR_P;2019;2A0000022;2A0000014;N2200;25;2;26.3;;
CHIRCAR_P;2019;2A0000022;2A0000014;N2510;21;;21;;
CHIRCAR_P;2019;2A0000022;2A0000014;NAUT;10;1;10.8;;
CHIRCAR_P;2019;300780152;300017985;M103X;11;1;11.5;1;1
CHIRCAR_P;2019;300780152;300017985;M1040;8;9;12.5;1;1
CHIRCAR_P;2019;300780152;300017985;M1160;3;26;14.5;0;1
CHIRCAR_P;2019;300780152;300017985;M2140;3;;3;0;1
CHIRCAR_P;2019;300780152;300017985;MAUT;1;;1;0;0
CHIRCAR_P;2019;300780152;300017985;N2120;2;;2;;
CHIRCAR_P;2019;300780152;300017985;N2200;31;6;37.6;;
CHIRCAR_P;2019;300780152;300017985;N2320;1;;1;;
CHIRCAR_P;2019;300780152;300017985;N2510;8;3;8.6;;
CHIRCAR_P;2019;300780152;300017985;NAUT;3;2;3.53;;
CHIRCAR_P;2019;300782117;300780038;M1040;16;7;12.1;1;1
CHIRCAR_P;2019;300782117;300780038;N2200;6;1;6.77;;
CHIRCAR_P;2019;310016977;310781406;M103X;2;;2;1;
CHIRCAR_P;2019;310016977;310781406;M1040;2;3;3.5;;1
CHIRCAR_P;2019;310016977;310781406;M1140;6;1;6.5;;1
CHIRCAR_P;2019;310016977;310781406;M2140;1;2;1.2;;1
CHIRCAR_P;2019;310016977;310781406;NAUT;;3;0.3;;
CHIRCAR_P;2019;310026927;310026794;M103X;;;;;1
CHIRCAR_P;2019;310026927;310026794;M1040;17;;17;1;
CHIRCAR_P;2019;310026927;310026794;M1160;;;;;1
CHIRCAR_P;2019;310026927;310026794;N2120;1;;0.83;;
