BOR;AN;FI;FI_EJ;GDE;AUT;LIT;JLI;PLA;SEJHC;JOUHC;SEJ3M;JOUHP
SSR;2019;050000041;130037815;SSR_A51;1;40;;19;;16557;;5632
SSR;2019;050000041;130037815;SSR_A53;1;2;;;;0;;0
SSR;2019;050000041;130037815;SSR_A54;1;22;;1;;6539;;384
SSR;2019;050000041;130037815;SSR_TOT;;90;30607;25;902;30607;54;7453
SSR;2019;050000058;050000033;SSR_A;;62;22630;;589;19242;21;0
SSR;2019;050000058;050000033;SSR_A50;1;62;;;;19242;;0
SSR;2019;050000058;050000033;SSR_TOT;;62;22630;;589;19242;21;0
SSR;2019;050000066;050000082;SSR_A;;60;21900;;604;19630;20;0
SSR;2019;050000066;050000082;SSR_A50;1;60;;;;19630;;0
SSR;2019;050000066;050000082;SSR_TOT;;60;21900;;604;19630;20;0
SSR;2019;050000256;050000124;SSR_A;;34;12410;;377;10442;11;0
SSR;2019;050000256;050000124;SSR_A50;1;20;;;;6064;;0
SSR;2019;050000256;050000124;SSR_A59;1;14;;;;4378;;0
SSR;2019;050000256;050000124;SSR_TOT;;34;12410;;377;10442;11;0
SSR;2019;050000298;050000496;SSR_E;;53;19250;;323;11347;6;0
SSR;2019;050000298;050000496;SSR_E54;1;53;;;;11347;;0
SSR;2019;050000298;050000496;SSR_TOT;;53;19250;;323;11347;6;0
SSR;2019;050000306;050000538;SSR_E;;0;0;0;369;11509;11;0
SSR;2019;050000306;050000538;SSR_E50;1;0;;0;;0;;0
SSR;2019;050000306;050000538;SSR_E54;1;;;;;11509;;0
SSR;2019;050000306;050000538;SSR_TOT;;0;0;0;369;11509;11;0
SSR;2019;050000330;050007145;SSR_A;;12;4380;;93;3961;14;0
SSR;2019;050000330;050007145;SSR_A50;1;12;;;;3961;;0
SSR;2019;050000330;050007145;SSR_TOT;;12;4380;;93;3961;14;0
SSR;2019;050000348;050002948;SSR_A;;30;10950;;296;9505;4;0
SSR;2019;050000348;050002948;SSR_A50;1;;;;;0;;0
SSR;2019;050000348;050002948;SSR_A59;1;30;;;;9505;;0
SSR;2019;050000348;050002948;SSR_TOT;;30;10950;;296;9505;4;0
SSR;2019;050000371;050003508;SSR_E;;47;16450;2;364;13131;17;45
SSR;2019;050000371;050003508;SSR_E54;1;47;;2;;13131;;45
SSR;2019;050000371;050003508;SSR_TOT;;47;16450;2;364;13131;17;45
SSR;2019;050000488;050000678;SSR_A;;72;26280;;706;26512;25;0
SSR;2019;050000488;050000678;SSR_A54;1;72;;;;26512;;0
SSR;2019;050000488;050000678;SSR_TOT;;72;26280;;706;26512;25;0
SSR;2019;050000637;050001163;SSR_A;;66;24090;;423;21381;73;0
SSR;2019;050000637;050001163;SSR_A50;1;66;;;;21381;;0
SSR;2019;050000637;050001163;SSR_TOT;;66;24090;;423;21381;73;0
SSR;2019;050000991;050000546;SSR_A;;131;47815;10;1380;41330;62;720
SSR;2019;050000991;050000546;SSR_A50;1;33;;;;10670;;0
SSR;2019;050000991;050000546;SSR_A55;1;54;;10;;16667;;720
