BOR;AN;FI;FI_EJ;TELEMED_A1;TELEMED_A20;TELEMED_A21;TELEMED_A22;TELEMED_B1;TELEMED_B20;TELEMED_B21;TELEMED_B22;TELEMED_A2;TELEMED_A23;TELEMED_B2;TELEMED_B23;TELEMED_A3;TELEMED_A24;TELEMED_A25;TELEMED_B3;TELEMED_B24;TELEMED_B25;TELEMED_A4;TELEMED_B4;TELEMED_A17;TELEMED_A18;TELEMED_A19;TELEMED_A6;TELEMED_A26;TELEMED_A27;TELEMED_A28;TELEMED_A29;TELEMED_A30;TELEMED_A31;TELEMED_A32;TELEMED_A33;TELEMED_A34;TELEMED_A35;TELEMED_A36;TELEMED_A37;TELEMED_A38
TELEMED;2019;190012476;190002519;0;0;0;0;1;1;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;;0;0;0;0;1;0;0;0;0;0;0;0;0;0
TELEMED;2019;210986360;210012290;0;0;0;0;0;0;0;0;0;0;0;0;1;1;0;0;0;0;0;0;0;0;;0;0;0;0;0;0;0;0;0;0;0;0;0;0
TELEMED;2019;210987558;210780581;1;1;0;0;0;0;0;0;1;0;0;1;1;0;0;0;0;0;0;0;1;0;0;1;1;0;1;1;0;1;0;0;0;0;0;0;0
TELEMED;2019;210987574;210012175;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;;0;0;0;0;0;0;1;0;0;0;0;0;0;0
TELEMED;2019;210987616;210012175;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;1;0;;0;0;0;0;0;0;1;0;0;0;0;0;0;0
TELEMED;2019;210987640;210780672;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;0;0;1;1;1;0;1;0;0;0;0;0;0;0
TELEMED;2019;210987657;210012175;0;0;0;0;1;0;0;0;1;0;1;1;0;0;0;0;0;0;0;1;1;1;2;0;0;0;0;1;0;1;0;0;0;0;1;0;1
TELEMED;2019;210987665;210012142;0;0;0;0;0;0;0;0;0;0;1;1;0;0;0;0;0;0;0;0;0;0;;0;0;0;0;0;0;1;0;0;0;0;0;0;0
TELEMED;2019;210987673;210012142;0;0;0;0;0;0;0;0;1;0;1;0;0;0;0;0;0;0;0;0;0;0;;0;0;0;0;0;0;1;0;0;0;0;1;0;0
TELEMED;2019;210987681;210012142;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;;0;0;0;0;0;0;1;0;0;0;0;0;0;0
TELEMED;2019;210987699;210780706;0;0;0;0;1;0;0;0;0;0;1;1;0;0;0;0;;;0;1;0;0;;0;0;0;1;1;0;0;0;0;0;0;0;0;0
TELEMED;2019;210987731;210780417;1;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;1;0;;0;0;0;0;0;0;0;0;0;0;0;0;0;0
TELEMED;2019;220000012;220000020;1;0;0;0;0;0;0;0;1;1;1;1;1;1;0;0;0;0;0;0;1;1;;1;0;1;1;1;0;1;0;0;0;0;1;0;0
