BOR;AN;FI;FI_EJ;EQUIPSSR;SANSEQ;EQPL;EQAU
SSR2;2019;010780252;010783009;VEHADP;1;;
SSR2;2019;010780278;010783009;APTAUT;;;1
SSR2;2019;010780278;010783009;ASSMAR;1;;
SSR2;2019;010780278;010783009;ASSMEM;1;;
SSR2;2019;010780278;010783009;EXPEQU;;1;
SSR2;2019;010780278;010783009;EXPURO;1;;
SSR2;2019;010780278;010783009;IDRACH;1;;
SSR2;2019;010780278;010783009;ISOCIN;1;;
SSR2;2019;010780278;010783009;LABMAR;;1;
SSR2;2019;010780278;010783009;PISCIN;;;1
SSR2;2019;010780278;010783009;SALINT;;1;
SSR2;2019;010780278;010783009;SIMESP;1;;
SSR2;2019;010780278;010783009;STICON;1;;
SSR2;2019;010780278;010783009;VEHADP;1;;
SSR2;2019;010780310;010000222;APTAUT;1;;
SSR2;2019;010780310;010000222;ASSMAR;1;;
SSR2;2019;010780310;010000222;ASSMEM;1;;
SSR2;2019;010780310;010000222;EXPEQU;1;;
SSR2;2019;010780310;010000222;EXPURO;1;;
SSR2;2019;010780310;010000222;IDRACH;1;;
SSR2;2019;010780310;010000222;ISOCIN;1;;
SSR2;2019;010780310;010000222;LABMAR;1;;
SSR2;2019;010780310;010000222;PISCIN;1;;
SSR2;2019;010780310;010000222;SALINT;1;;
SSR2;2019;010780310;010000222;SIMESP;1;;
SSR2;2019;010780310;010000222;STICON;1;;
SSR2;2019;010780310;010000222;VEHADP;1;;
SSR2;2019;010780328;010000222;APTAUT;1;;
SSR2;2019;010780328;010000222;ASSMAR;1;;
SSR2;2019;010780328;010000222;ASSMEM;1;;
SSR2;2019;010780328;010000222;EXPEQU;1;;
SSR2;2019;010780328;010000222;EXPURO;1;;
SSR2;2019;010780328;010000222;IDRACH;1;;
SSR2;2019;010780328;010000222;ISOCIN;1;;
SSR2;2019;010780328;010000222;LABMAR;1;;
SSR2;2019;010780328;010000222;PISCIN;1;;
SSR2;2019;010780328;010000222;SALINT;1;;
SSR2;2019;010780328;010000222;SIMESP;1;;
SSR2;2019;010780328;010000222;STICON;1;;
SSR2;2019;010780328;010000222;VEHADP;1;;
SSR2;2019;010780476;750005068;APTAUT;1;;
SSR2;2019;010780476;750005068;ASSMAR;1;;
SSR2;2019;010780476;750005068;ASSMEM;1;;
SSR2;2019;010780476;750005068;EXPEQU;1;;
SSR2;2019;010780476;750005068;EXPURO;1;;
SSR2;2019;010780476;750005068;IDRACH;1;;
SSR2;2019;010780476;750005068;ISOCIN;1;;
SSR2;2019;010780476;750005068;LABMAR;1;;
SSR2;2019;010780476;750005068;PISCIN;;1;
SSR2;2019;010780476;750005068;SALINT;1;;
SSR2;2019;010780476;750005068;SIMESP;1;;
SSR2;2019;010780476;750005068;STICON;1;;
SSR2;2019;010780476;750005068;VEHADP;1;;
SSR2;2019;010780492;360000707;APTAUT;1;;
SSR2;2019;010780492;360000707;ASSMAR;1;;
SSR2;2019;010780492;360000707;ASSMEM;1;;
SSR2;2019;010780492;360000707;EXPEQU;1;;
SSR2;2019;010780492;360000707;EXPURO;1;;
SSR2;2019;010780492;360000707;IDRACH;1;;
SSR2;2019;010780492;360000707;ISOCIN;1;;
SSR2;2019;010780492;360000707;LABMAR;1;;
SSR2;2019;010780492;360000707;PISCIN;;1;
SSR2;2019;010780492;360000707;SALINT;1;;
SSR2;2019;010780492;360000707;SIMESP;1;;
SSR2;2019;010780492;360000707;STICON;1;;
SSR2;2019;010780492;360000707;VEHADP;1;;
SSR2;2019;010780708;310021381;APTAUT;1;;
SSR2;2019;010780708;310021381;ASSMAR;1;;
SSR2;2019;010780708;310021381;ASSMEM;1;;
SSR2;2019;010780708;310021381;EXPEQU;1;;
SSR2;2019;010780708;310021381;EXPURO;1;;
SSR2;2019;010780708;310021381;IDRACH;1;;
SSR2;2019;010780708;310021381;ISOCIN;1;;
SSR2;2019;010780708;310021381;LABMAR;1;;
SSR2;2019;010780708;310021381;PISCIN;1;;
SSR2;2019;010780708;310021381;SALINT;1;;
SSR2;2019;010780708;310021381;SIMESP;1;;
SSR2;2019;010780708;310021381;STICON;1;;
SSR2;2019;010780708;310021381;VEHADP;1;;
SSR2;2019;010780799;750721334;APTAUT;1;;
SSR2;2019;010780799;750721334;ASSMAR;1;;
SSR2;2019;010780799;750721334;ASSMEM;1;;
SSR2;2019;010780799;750721334;EXPEQU;1;;
SSR2;2019;010780799;750721334;EXPURO;1;;
SSR2;2019;010780799;750721334;IDRACH;1;;
SSR2;2019;010780799;750721334;ISOCIN;1;;
SSR2;2019;010780799;750721334;LABMAR;1;;
SSR2;2019;010780799;750721334;PISCIN;1;;
SSR2;2019;010780799;750721334;SALINT;1;;
SSR2;2019;010780799;750721334;SIMESP;1;;
SSR2;2019;010780799;750721334;STICON;1;;
SSR2;2019;010780799;750721334;VEHADP;1;;
SSR2;2019;020000089;020000022;APTAUT;1;;
SSR2;2019;020000089;020000022;ASSMAR;1;;
SSR2;2019;020000089;020000022;ASSMEM;1;;
SSR2;2019;020000089;020000022;EXPEQU;1;;
SSR2;2019;020000089;020000022;EXPURO;1;;
SSR2;2019;020000089;020000022;IDRACH;1;;
SSR2;2019;020000089;020000022;ISOCIN;;1;
SSR2;2019;020000089;020000022;LABMAR;1;;
SSR2;2019;020000089;020000022;PISCIN;1;;
SSR2;2019;020000089;020000022;SALINT;1;;
SSR2;2019;020000089;020000022;SIMESP;1;;
SSR2;2019;020000089;020000022;STICON;1;;
SSR2;2019;020000089;020000022;VEHADP;1;;
SSR2;2019;020000097;020000048;APTAUT;1;;
SSR2;2019;020000097;020000048;ASSMAR;1;;
SSR2;2019;020000097;020000048;ASSMEM;1;;
SSR2;2019;020000097;020000048;EXPEQU;1;;
SSR2;2019;020000097;020000048;EXPURO;1;;
SSR2;2019;020000097;020000048;IDRACH;1;;
SSR2;2019;020000097;020000048;ISOCIN;1;;
SSR2;2019;020000097;020000048;LABMAR;1;;
SSR2;2019;020000097;020000048;PISCIN;1;;
SSR2;2019;020000097;020000048;SALINT;1;;
SSR2;2019;020000097;020000048;SIMESP;1;;
SSR2;2019;020000097;020000048;STICON;1;;
SSR2;2019;020000097;020000048;VEHADP;1;;
SSR2;2019;020000105;020000055;APTAUT;1;;
SSR2;2019;020000105;020000055;ASSMAR;1;;
SSR2;2019;020000105;020000055;ASSMEM;1;;
SSR2;2019;020000105;020000055;EXPEQU;1;;
SSR2;2019;020000105;020000055;EXPURO;1;;
SSR2;2019;020000105;020000055;IDRACH;1;;
SSR2;2019;020000105;020000055;ISOCIN;1;;
SSR2;2019;020000105;020000055;LABMAR;1;;
