BOR;AN;FI;FI_EJ;ORG_A1;ORG_B1;ORG_C1;ORG_A2;ORG_B2;ORG_C2;ORG_A24;ORG_B24;ORG_C24;ORG_A3;ORG_B3;ORG_C3;ORG_A6;ORG_B6;ORG_C6;ORG_A7;ORG_B7;ORG_C7;ORG_A8;ORG_B8;ORG_C8;ORG_A10;ORG_B10;ORG_C10;ORG_A11;ORG_B11;ORG_C11;ORG_A17;ORG_A18;ORG_A19;ORG_A20;ORG_A21;ORG_A22;ORG_A23;ORG_A12;GCS_PM;GHT_PM;AUT_PM;GCS_PARA;GHT_PARA;AUT_PARA;GCS_ADMTECLOG;GHT_ADMTECLOG;AUT_ADMTECLOG
ORG;2019;040782021;130037815;;;;;;;;;;;;;;;;;;;;;;22;C;D;;;;0;;;;;;;;;;;;;;;;
ORG;2019;040784860;920033503;;;;;;;;;;;;;;;;1;A;B;;;;;;;;;;0;;;;;;;0;;;;;;;;;
ORG;2019;050000041;130037815;;;;1;D;;1;A;;;;;;;;;;;;;;10;C;;;;;0;;;;;;;;;;;;;;;;
ORG;2019;050000058;050000033;;;;1;D;;;;;;;;;;;;;;;;;3;A;;;;;0;;;;;;;;;;;;;;;;
ORG;2019;050000132;050007145;;;;;;;;;;;;;;;;;;;;;;66;;;;;;1;1;ALPES DU SUD;;;;;;;;;;;;;;
ORG;2019;050000231;050000116;;;;2;D;A;;;;;;;2;B;G;2;D;;1;C;;147;A;B;;;;;;;;;;;0.2;;;;;;;;;
ORG;2019;050000256;050000124;;;;1;D;;;;;;;;2;;;;;;1;C;;82;A;C;;;;;;;;;;;0;;;2;;;;;;
ORG;2019;050000298;050000496;;;;;;;;;;;;;;;;;;;;;;2;C;D;;;;0;;;;;;;0;;;;;;;;;
ORG;2019;050000330;050007145;;;;;;;;;;;;;;;;;;;;;;10;;;;;;1;1;ALPES DU SUD;;;;;;;;;;;;;;
ORG;2019;050000348;050002948;;;;4;D;C;;;;;;;1;A;;1;D;;4;C;;315;C;D;5;D;A;0;;;;;;;;;0.2;;0.75;0.6;;19.94;4.04;
ORG;2019;050000488;050000678;;;;1;A;;;;;;;;;;;;;;;;;4;C;B;;;;0;;;;;;;0.2;0.2;0.1;;0.2;0.3;;0.2;0.2;
ORG;2019;050000991;050000546;1;D;;;;;;;;;;;;;;1;B;;;;;5;A;C;;;;0;;;;;;;;;;0.05;;;0.5;;;0.9
ORG;2019;050001064;050000561;;;;1;D;;;;;;;;;;;;;;;;;;;;;;;0;;;;;;;0.05;;;;;;;;;
ORG;2019;050002351;130037815;1;C;;;;;;;;;;;;;;;;;;;;3;C;;;;;0;;;;;;;0;0;0;;0;0;;0;0;
ORG;2019;050003359;380793802;;;;;;;;;;;;;;;;;;;;;;1;C;;;;;0;;;;;;;;;;;;;;;;
ORG;2019;050006022;380793802;;;;;;;;;;;;;;;;;;;;;;1;C;;;;;0;;;;;;;;;;;;;;;;
ORG;2019;060000478;060780897;;;;;;;;;C;1;A;;;;;;;D;;;;21;;C;;;;;;;;;;;0.15;;;;;;;55.66;;
ORG;2019;060000486;060780905;;;;;;;;;;;;;;;;;;;;;;10;A;;;;;0;;;;;;;0;;;;;;;;;
ORG;2019;060000494;060780921;;;;;;;;;;;;;;;;;;;;;;3;C;A;;;;1;1;ALPES MARITIMES;;;;;;;;;;;;;0.1;1.3
ORG;2019;060000510;060780954;;;;1;A;;;;;;;;;;;1;D;;;;;10;C;;3;C;;;;;;;;;;;;;6.7;;;;;
ORG;2019;060000528;060780962;;;;1;C;D;;;;2;A;E;;;;;;;1;D;;184;C;E;;;;1;1;ALPES MARITIMES;;;;;1.5;11.26;0;2.6;77.55;0;;10.68;0;0.4
ORG;2019;060000536;060006889;;;;;;;;;;;;;;;;;;;;;;1;B;;;;;;;;;;;;0.1;;;;;;;;0.1;
ORG;2019;060000544;060780988;;;;2;A;D;;;;;;;;;;2;D;;1;D;;41;C;D;;;;;;;;;;;1.5;;0.4;2.9;1;;13.52;112.08;2.1;5.99
ORG;2019;060001625;060006889;;;;;;;;;;;;;;;;;;;;;;;;;1;B;;;;;;;;;;;;;;;;;0.1;
ORG;2019;060002102;060791761;;;;2;A;D;;;;;;;;;;;;;;;;16;C;D;;;;;;;;;;;;;1.4;0.1;;0.1;1.1;;0.1;0.4
ORG;2019;060005469;920030269;;;;;;;;;;;;;;;;;;;;;;29;C;D;;;;0;;;;;;;;;;;;;;;;
ORG;2019;060019213;060005188;;;;;;;;;;;;;;;;;;;;;;1;A;;;;;0;;;;;;;;;;;;;;;;
ORG;2019;060021094;060024619;;;;1;C;D;;;;;;;;;;;;;;;;26;C;D;;;;0;;;;;;;0.1;;;0.5;;;0.3;;;0.25
ORG;2019;060021201;060000155;;;;;;;;;;;;;;;;;;;;;;25;C;;;;;0;;;;;;;;;;;;;;;;
ORG;2019;060780186;060006939;;;;1;A;B;;;;;;;;;;;;;;;;;;;;;;0;;;;;;;0.1;0;;;0;;;0;;
ORG;2019;060780343;060000171;;;;;;;;;;;;;;;;;;;;;;9;C;D;;;;0;;;;;;;0.14;0;0;0;0;0;0;0;0;0
ORG;2019;060780392;060000205;;;;;;;;;;;;;;;;;;;;;;11;C;D;;;;0;;;;;;;0.3;0;0;0;0;0;0;0;0;0
ORG;2019;060780459;010783009;0;;;0;;;0;;;0;;;0;;;0;;;0;;;4;C;D;0;;;0;;;;;;;0;0;;;0;;;0;;
ORG;2019;060780491;060790797;;;;;;;;;;;;;1;B;;4;D;;;;;31;C;D;5;G;;1;1;ALPES MARITIMES;;;;;;;;;;;;;;
ORG;2019;060780517;060000239;;;;;;;;;;;;;;;;;;;;;;19;C;;;;;0;;;;;;;0.25;0;0;0;0;0;0;0;0;0
ORG;2019;060780541;060000262;;;;;;;;;;;;;;;;;;;;;;6;C;;;;;0;;;;;;;;;;;;;;;;
ORG;2019;060780558;750720575;;;;;;;;;;;;;;;;;;;;;;17;A;C;;;;0;;;;;;;0.1;;;;;;;;;
ORG;2019;060780590;060000270;;;;1;;;;;;;;;;;;5;D;;;;;4;C;;;;;0;;;;;;;0;0;0;0;0;0;0;0;0;0
ORG;2019;060780665;060000312;;;;;;;;;;;;;;;;;;;;;;1;A;;;;;0;;;;;;;;;;;;;;;;
ORG;2019;060780715;060000361;;;;;;;;;;;;;1;B;;;;;;;;;;;24;C;;0;;;;;;;;;;;;;;;;
ORG;2019;060780723;060004959;;;;1;D;;;;;;;;1;;;;;;;;;25;C;;;;;0;;;;;;;;;;;;;;;;
ORG;2019;060780749;060000395;;;;1;;;;;;;;;;;;;;;;;;22;;;;;;0;;;;;;;0.1;;;0.5;;;0.87;;;0.25
