BOR;AN;FI;FI_EJ;LIT;JOU;ENT;DECES;URG_EJ;URG_EXT;MCO_EJ;MCO_EXT;GER_EJ;GER_EXT;SSR_EJ;SSR_EXT;PSY_EJ;PSY_EXT;HAD_EJ;HAD_EXT;DOMIC1;PEGER;EMGER;GERPSY;EMPAL;ALZ;EHPAD;VILHOS;RETR
USLD;2019;560027641;560000077;60;20257;31;33;;;;2;;10;;18;;;;1;10;;;;;;4;1;
USLD;2019;570000109;570000034;41;9497;30;25;0;0;8;3;0;0;17;0;0;0;0;0;2;0;0;0;4;0;0;1;0
USLD;2019;570000166;570010181;30;10332;25;23;;;3;;5;;15;;;;2;;;;;;;;;;
USLD;2019;570000349;570005165;23;7899;9;7;1;;;;;;8;;;;;;;22;40;20;3;0;0;0;0
USLD;2019;570000448;750050759;30;9902;35;24;;;;5;;;;14;;;;;6;;;;1;;2;;
USLD;2019;570000455;570010181;30;9765;29;24;;;18;;;;9;;;;;;2;;;;;;;;
USLD;2019;570000562;570011353;30;10843;37;30;;;;18;;;;14;;;;;5;;;;;;;;
USLD;2019;570000661;570000158;30;10950;30;11;;;;;13;1;16;;;;;;;;;;;;2;;
USLD;2019;570000893;570000141;30;10633;21;8;;;;;;;;;3;;;;17;;;;4;;2;1;
USLD;2019;570000968;570000430;30;9149;40;36;;;3;;;;19;4;;;;;14;;;;;;1;;
USLD;2019;570003079;570010181;60;21055;28;27;;;;1;1;;18;5;;;;;3;;;;;;1;;
USLD;2019;570003947;570023630;30;10736;14;11;;;;;2;;5;;;;7;;;;;;;;;;
USLD;2019;570005215;570005165;37;11611;27;23;;;9;1;4;;12;;;;;;1;;;;;;1;0;2
USLD;2019;570012369;570011387;30;10302;24;15;;;;2;;;18;;;;;;4;;;;;;3;;
USLD;2019;570015776;750050759;60;19484;42;31;;;;;;;;25;;;;;17;;;;;;7;;
USLD;2019;580004836;580780039;108;38499;93;78;;;8;5;;;54;15;;;;;11;;;;;;6;7;
USLD;2019;580972628;580780039;12;4363;2;41;;;;;;;1;;;;;;1;;;;;;1;;
USLD;2019;580972644;580781136;30;10562;25;8;;;1;2;2;4;6;2;;;;;8;;;1;1;;12;;
USLD;2019;580972651;580780047;30;9874;14;12;;;11;2;;;;;;;1;;;;;;;;;3;
USLD;2019;580972677;580780088;30;8346;25;22;0;0;7;1;2;0;11;1;0;0;0;0;0;;;;;;2;0;0
USLD;2019;580972685;580780096;30;3507;30;1;;;;;;;;;;;;;;13;0;3;4;0;;;
USLD;2019;580972701;580970978;30;10709;11;13;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
USLD;2019;580972719;580780757;0;4958;6;7;0;0;0;0;1;0;0;0;0;0;0;0;5;0;0;0;0;0;0;0;0
USLD;2019;590000014;590780052;30;8882;27;20;0;1;7;4;2;0;4;3;0;0;0;0;6;0;0;0;0;0;1;0;0
USLD;2019;590000121;590780227;60;21355;49;35;0;0;12;1;31;0;24;0;0;0;0;0;29;7;0;6;3;0;3;0;0
USLD;2019;590000428;590781605;58;19908;38;32;;;4;;3;;22;4;;;;;5;;;;;;13;1;
USLD;2019;590000451;590781647;40;14277;16;;;;;;;;;;;;;;;;;;;;;;
USLD;2019;590000469;590781662;30;8192;8;7;;;;;;;8;;;;;;8;0;0;0;0;0;0;0;0
USLD;2019;590000477;590781670;40;14397;26;16;;;;;;;19;;;;;;7;;;;;;4;;
USLD;2019;590000527;590781795;30;9713;27;14;;;4;;;;19;3;;;;;1;0;0;0;0;0;8;2;0
USLD;2019;590000592;590782165;60;20143;38;30;0;0;1;1;2;0;25;4;0;0;0;0;5;0;0;5;10;0;6;0;0
USLD;2019;590001004;590783239;60;18944;47;37;0;0;4;0;0;0;11;6;1;0;0;0;5;;;;8;;19;;
USLD;2019;590001582;590785663;60;17150;30;28;;;;;;3;16;;;;;;11;;;;;;2;3;
USLD;2019;590044632;590782421;60;14178;36;;;;;;;;;;;;;;;;;;;;;;
USLD;2019;590788865;590782421;60;10264;0;;;;;;;;;;;;;;;;;;;;;;
USLD;2019;590791091;590780193;120;30725;35;33;2;;2;;3;;10;;;;;;;;2;2;1;;2;;
USLD;2019;590791323;590782637;60;15417;18;14;;;;1;;;14;;;;;;3;;;;;;1;;
USLD;2019;590804340;590788956;80;27657;38;37;;;5;5;4;;7;3;;;;1;13;;;;;;3;;
USLD;2019;590804696;590781902;60;19105;49;47;1;0;4;1;4;0;12;3;0;0;0;0;23;6;5;0;7;0;8;1;0
USLD;2019;590812186;590782421;30;16673;28;17;;;;;;;;;;;;;;;;;;;;;
USLD;2019;590812749;590782215;90;29872;38;29;0;0;1;8;4;0;8;1;0;0;0;0;16;;;;;;10;0;0
USLD;2019;600000020;600100085;30;10755;16;13;;;;;;;12;;;;;;4;;;;;;;;
USLD;2019;600000046;600100127;30;9136;15;14;0;0;0;0;7;7;5;0;0;0;0;0;2;0;0;0;0;0;0;0;0
USLD;2019;600000053;600101984;73;26220;43;30;;;1;1;;;13;2;;;;;26;;;;15;;5;;
USLD;2019;600000152;600100572;86;31225;22;21;0;0;2;0;0;0;8;8;0;0;0;0;4;0;0;7;8;0;2;0;0
USLD;2019;600000186;600100648;88;31865;52;44;;;1;;;;19;21;;;;;11;;;;;;;1;
USLD;2019;600000285;600100721;47;14907;15;;;;;;;;;;;;;;;;;;;;;;
USLD;2019;600001184;600108948;31;11131;26;12;;0;;5;;2;;5;;0;;0;14;;;;;;;;
USLD;2019;600100101;750712184;96;34775;47;37;;;;;;;46;;;;1;;;;;3;;;10;;2
USLD;2019;600105381;600106611;51;18008;39;35;;;;3;;;14;18;;;;;4;;;;;;2;;
USLD;2019;600107494;600100713;100;36077;47;33;1;0;2;0;1;0;17;5;0;0;0;0;21;0;0;0;12;0;0;0;5
USLD;2019;600107668;600100721;73;23504;18;;;;;;;;;;;;;;8;;;;;;;;
USLD;2019;610000044;610780074;30;10388;15;13;;;;;2;;6;3;;;;;4;15;9;3;2;;2;1;
USLD;2019;610784050;610780082;110;37848;51;33;;;6;4;;;35;1;;;;;6;;;;;;;;
USLD;2019;620000067;620100081;30;10753;30;18;;;;4;;;9;1;;;;1;15;;;;;;10;;
