BOR;AN;FI;FI_EJ;EMGER;EVALIH;EVALEH;FILACT;ETP;UGER;LIT_GER;PLA_GER;SEJHC_GER;SEJHP_GER;JOU_GER;EFFPL_PM;EFFPL_GER;EFFPA_PM;EFFPA_GER;ETP_PM;ETP_GER;GAR_PM;GAR_GER;AST_PM;AST_GER;EFFPL_INF;EFFPL_AID;EFFPL_ERG;EFFPL_PMT;EFFPL_APNM;EFFPA_INF;EFFPA_AID;EFFPA_ERG;EFFPA_PMT;EFFPA_APNM;ETP_INF;ETP_AID;ETP_ERG;ETP_PMT;ETP_APNM
MCOGER;2019;140002452;140025800;0;;;;;1;0;5;0;1194;0;5;2;;;5;2;;;;;7;14;;;7;;;;;;15.3;20.31;;;11.04
MCOGER;2019;140026410;140026279;0;;;;;1;28;;870;0;9417;5;;;;3.93;;0;0;1;0;8;16;;;13;5;5;;;3;12;12.4;;;8.7
MCOGER;2019;150000032;150780088;0;;;;;1;16;0;464;0;5290;2;2;0;0;1;1;0;0;1;1;6;10;;;5;1;2;;;1;6.43;10.5;;;5.1
MCOGER;2019;150000040;150780096;1;174;145;637;0.2;1;18;;495;0;6540;2;1;2;0;1.32;1;0;0;1;1;5;3;;;1;1;5;;;4;4.56;6.88;;;2.82
MCOGER;2019;160000253;160000451;1;746;0;659;2.7;1;30;5;1103;326;10620;1;1;6;3;3.62;2.12;0;0;1;1;14;14;;;4;3;7;1;;5;15.03;17.74;0.25;;5.46
MCOGER;2019;160000303;160006037;1;179;23;179;;1;21;;770;0;6774;2;1;;;2;1;;;;;1;0;;;1;;;;;2;1;;;;1.54
MCOGER;2019;160000311;160000485;1;323;85;357;2.84;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
MCOGER;2019;160015368;160014411;1;159;169;265;1.83;1;21;;702;0;7430;3;;;;2.6;;0;0;1;1;11;17;;;5;3;9;;;;8.21;15.49;;;2.74
MCOGER;2019;170000038;170780050;0;;;;;1;30;1;904;308;10523;2;2;1;1;2.93;2.4;0;0;1;1;11;14;;;1;5;5;;;2;15.22;16.92;;;1.79
MCOGER;2019;170000079;170780142;0;;;;;1;11;1;102;26;2398;1;;;;0.5;;0;0;0;0;3;6;;;1;1;2;;;;3.8;7.3;;;1
MCOGER;2019;170000087;170024194;1;1248;;893;2.44;1;54;;976;0;10762;6;6;1;1;6.7;6.7;0;0;1;1;26;28;;;11;3;7;;;;14.43;16.3;;;3.67
MCOGER;2019;170000095;170780167;0;;;;;1;30;0;843;0;10222;2;1;0;;1.9;0.9;0;0;1;1;14;15;1;;13;1;2;;;;13.15;13.3;0.2;;8.44
MCOGER;2019;170000103;170780175;1;765;0;344;2.82;1;18;;1370;0;13782;0;0;1;0;1.09;1.01;0;0;1;1;27;29;0;0;23;3;8;0;0;4;8.36;10.58;0;0;2.28
MCOGER;2019;170000129;170780191;0;;;;;1;26;;1170;0;9251;3;;;;3.08;;0;;1;;13;15;;;5;4;1;;;3;11.26;12.27;;;3
MCOGER;2019;170000152;170780225;1;1081;86;621;3.5;1;41;5;1504;928;14337;7;4;;;4.86;2.86;0;0;1;1;20;23;;;6;2;;2;;1;21.05;22.12;0.84;;3.07
MCOGER;2019;180000010;180000028;1;1128;39;974;2.1;1;29;;543;0;8301;1;1;6;6;2.65;2.65;0;0;1;1;9;13;;;2;1;1;;;;11.53;14.32;;;1.54
MCOGER;2019;180000200;180000051;1;186;;978;1;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
MCOGER;2019;180000283;180000069;0;;;;;1;46;;1314;;15924;5;5;;;3.37;3.16;0;0;1;0;14;21;;;11;3;3;1;;3;17.54;25.48;0.05;;13.49
MCOGER;2019;190000018;190000042;1;2084;356;1991;11.5;1;43;0;1481;0;15453;9;9;1;1;6.17;6.17;0;0;1;1;23;23;;;13;1;5;;;7;23.03;21.93;;;15.93
MCOGER;2019;190000026;190000059;1;703;135;661;5.21;1;21;0;590;0;8095;3;;3;1;2.61;0.3;0;0;0;0;9;9;;;3;2;2;;;1;10.13;10.39;;;3.11
MCOGER;2019;190000091;190000075;1;454;35;365;1.82;1;5;1;162;4;1954;0;0;1;1;0.95;0.95;;;;;1;4;0;0;1;0;0;1;0;3;1;4;0.26;0;1.55
MCOGER;2019;210986089;210780581;1;258;382;559;2.29;1;60;10;2066;1445;22187;13;13;;;9.76;9.76;0;0;0;0;34;40;;;29;;;;;;31.97;35.05;;;25.11
MCOGER;2019;210987657;210012175;1;628;97;800;2.6;1;20;;490;0;5919;2;;1;;2.17;;0;0;0;0;13;11;;;3;;;;;6;9.04;8.75;;;5.34
MCOGER;2019;210987665;210012142;1;128;138;304;1.1;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
MCOGER;2019;210987673;210012142;0;;;;;1;23;1;585;258;6408;3;2;;;3.79;0.91;;;;;8;11;;;4;3;4;;;;9.89;15.04;;;4.3
MCOGER;2019;220000012;220000020;1;1252;0;1050;1.67;1;40;0;1279;0;14069;4;1;6;4;7.57;2.4;0;0;1;1;25;26;2;;6;8;13;;;4;21.12;25.11;0.19;;7.29
MCOGER;2019;220000095;220000046;1;778;32;746;2.93;1;34;5;1033;289;12718;5;5;0;0;4.57;4.57;0;0;0;0;17;21;;;5;10;8;;;8;20.87;24.76;;;7.84
MCOGER;2019;220000343;220000079;1;312;1;297;2.5;1;25;8;851;237;8537;1;1;1;1;1;1;0;;1;;7;10;;;0;8;6;;;2;10.56;14.56;;;1.66
MCOGER;2019;220000368;220000103;1;434;;414;2.85;1;28;0;1037;0;10067;;;3;;2.77;;0;;0;;12;9;;;2;4;5;1;;9;12.26;14.64;0.5;;6.28
MCOGER;2019;220000541;220000152;1;435;8;375;1.6;1;25;0;902;0;8777;1;1;1;1;1.78;1.78;0;;1;;10;12;;;2;2;3;;;4;12.13;15.05;;;3.95
MCOGER;2019;220001259;220005045;1;0;158;105;0.8;1;30;5;797;557;9743;;;3;;2.64;;;;;;6;9;;;2;8;6;4;;22;12.12;12.81;1.08;;12.04
MCOGER;2019;230000820;230780041;1;106;2;488;2.7;1;23;;699;0;8142;3;;;;2.44;;0;0;0;0;10;12;;;4;;;;;;9.46;12.77;;;2.72
MCOGER;2019;230004657;230780058;0;;;;;1;24;0;406;0;5299;1;;;;1.69;;0;0;1;1;8;12;;;4;1;3;;;1;9.42;14.66;;;5.62
MCOGER;2019;240000372;240000059;1;202;112;152;1.85;1;20;0;683;0;7236;0;0;4;2;1.99;1.12;0;0;1;0;11;11;0;0;3;5;2;0;0;2;15.79;13.05;0;0;3.58
MCOGER;2019;240000489;240000117;1;1278;0;485;3.5;1;46;0;1292;0;16049;5;2;;;5.1;2;0;0;1;;10;19;0;0;7;0;1;0;0;1;10;18.23;0;0;7.18
MCOGER;2019;240000505;240016055;0;;;;;1;32;;221;0;3273;1;;1;;1.2;;0;0;1;0;8;11;;;;1;7;;;1;8.6;13;;;0.6
MCOGER;2019;240000687;240000448;1;;;;;1;15;0;482;0;4655;1;;;;1.08;;;;;;6;14;;;1;2;;;;6;6.24;13.24;;;6.51
MCOGER;2019;250000700;250000452;1;;;;;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
MCOGER;2019;250006954;250000015;1;2538;0;1099;4.66;1;48;5;1156;213;17212;4;1;4;0;6.51;1.39;0;0;0;0;12;15;0;;9;19;18;4;;14;23.19;24.94;1.11;;14.11
MCOGER;2019;260000013;260000021;1;373;26;399;4.75;1;24;0;780;124;9076;1;0;9;2;4.14;0.85;0;0;1;1;4;4;1;;2;15;24;2;;15;13.23;15.87;2.38;;8.02
MCOGER;2019;260000120;260016910;1;317;229;499;1.26;1;12;1;466;9;4395;2;;3;;1.85;;0;;1;;3;6;;;;2;1;;;2;4.34;6.33;;;1.62
MCOGER;2019;260000138;260000047;1;27;48;634;3.4;1;25;0;612;0;8695;4;3;3;3;5.9;4.9;0;0;1;1;11;12;0;0;4;6;2;0;0;1;14.23;12.93;0;0;4.92
MCOGER;2019;260000146;260000054;0;;;;;1;5;1;509;11;5061;;;;;;;;;;;;;;;;;;;;;;;;;
MCOGER;2019;260000286;260000104;0;;;;;1;16;;539;0;5544;2;;18;;2.17;;0;0;1;1;9;10;;0;1;4;2;1;;2;9.96;10.52;0.34;;1.75
MCOGER;2019;270000045;270000060;0;;;;;1;10;1;214;17;3532;;;;;0.98;0.91;0;0;1;1;4;6;;;4;;1;;;;4.46;6.03;;;1.6
MCOGER;2019;270000359;270023724;1;772;6;700;3.16;1;35;;1151;0;11283;0;0;1;1;0.6;0.6;1;1;0;0;11;17;;;5;5;2;;;3;14.43;16.3;;;5.49
MCOGER;2019;270000367;270000086;0;;;;;1;10;0;392;0;3496;0;0;1;1;0.1;0.1;;;;;1;0;0;0;0;0;0;0;0;1;1;0;0;0;0.3
MCOGER;2019;270000391;760024042;0;;;;;1;15;0;561;0;5570;3;3;;;3;3;0;0;0;0;11;15;;;10;1;4;;;2;12.35;16.79;;;7.99
MCOGER;2019;270000458;270023724;1;387;0;328;1.35;1;22;0;680;0;7691;0;;1;1;0.25;0.25;0;0;1;1;7;12;;;1;4;6;;;;9.51;15.63;;;1
MCOGER;2019;280000043;280000134;0;;;;;1;;2;0;211;0;;;;;;;;;;;1;;;;2;;;;;;1.32;;;;2.46
MCOGER;2019;280000084;280000183;1;936;67;782;2.5;1;40;;1584;0;14936;5;1;2;;6.11;1;0;;1;;17;28;;;6;2;;;;1;17.15;24.75;;;6.47
MCOGER;2019;280000662;280500075;0;;;;;1;30;0;663;0;9705;2;;;;2.55;;0;;1;;8;12;;;3;2;2;;;2;9.66;13.42;;;5.02
MCOGER;2019;280504267;280000134;1;577;144;519;2.66;1;53;0;1170;0;18939;3;2;;;2.18;1.48;0;0;1;1;19;23;;;8;2;3;;;;20.56;25.47;;;8.68
MCOGER;2019;290000025;290020700;1;915;;432;4;1;24;5;672;763;8638;;;4;3;2.9;2.8;0;0;0;0;10;11;;;5;3;7;;;13;12.67;16.55;0;0;7.36
MCOGER;2019;290000033;290021542;1;534;0;410;2.8;1;25;0;734;5;9516;2;0;4;0;4.7;0;0;0;0;0;8;12;;;5;9;5;;;5;13.52;15.21;;;7.04
MCOGER;2019;290000173;290000041;0;;;;;1;14;;540;0;4486;3;3;;;2;2;0;0;0;0;;;;;;29;34;;;6;6.4;8.59;;;1.3
MCOGER;2019;290000181;290000074;1;43;0;43;1;1;20;8;861;299;8126;;;3;2;2.29;2;0;0;1;1;;;;;;14;15;1;0;4;11.74;11.85;0.5;0;3.82
MCOGER;2019;290000785;220020739;1;19;0;19;;1;28;0;832;0;8532;2;1;1;;2.7;1;;;1;0;6;12;;;1;4;3;;;;9.39;14.08;;;1
MCOGER;2019;290000934;560005746;1;344;98;306;1.6;1;38;5;1044;780;13623;2;1;8;5;5.54;2.18;0;0;0;0;15;17;;;8;9;11;;;3;22.13;23.67;;;8.57
MCOGER;2019;290004324;290000017;1;853;0;841;4.3;1;26;0;805;;9673;4;4;2;2;2.66;2.66;0;0;0;0;6;8;;;2;5;7;;;2;10.85;13.6;;;2.88
MCOGER;2019;2A0000022;2A0000014;1;593;0;593;2.2;1;20;;826;0;7887;3;;;;3.02;;0;0;1;1;13;12;;;7;3;7;;;1;13.84;13.94;;;8.78
MCOGER;2019;2B0000012;2B0000020;1;881;;801;3.4;1;30;2;890;216;11178;6;4;4;3;8.89;5.17;;0;;0;30;37;2;0;18;5;5;0;0;8;29.89;35.79;2;0;21.64
MCOGER;2019;300000023;300780046;1;197;0;197;2.5;1;19;0;825;0;6945;4;2;0;0;2.92;0.5;0;;0;;7;30;;;2;14;8;;;31;14.01;21.1;0.42;;11.89
MCOGER;2019;300000031;300780053;1;167;0;161;2.82;1;20;2;595;11;6981;2;1;0;0;2.03;1;0;0;1;0;1;2;1;0;2;0;1;0;0;2;0.5;1.79;0.34;0;1.55
MCOGER;2019;300780137;920028396;0;;;;;1;23;;158;0;1064;1;1;2;2;1.77;1.77;0;0;0;0;9;12;;;;4;3;;;1;12.04;13.72;;;0.75
