BOR;AN;FI;FI_EJ;DIM_A1;DIM_A2;DIM_A3;DIM_A4;DIM_A5;DIM_A6;DIM_A7;DIM_A8;DIM_A9;DIM_A10;DIM_A11;DIM_A12;DIM_A13;DIM_A14;DIM_A15;DIM_A16;DIM_A17;DIM_A18;DIM_A19;DIM_A20;DIM_A21;DIM_A22;DIM_A23;DIM_A24;DIM_A25
INFOMED;2019;060798881;060798873;;;;;;;;1;;;;;0;0;1;1;1;0;;;0;0;;0.2;0.2
INFOMED;2019;060800166;060780608;;;1;;;;;;;;;;0;0;0;1;1;1;1;0;1;0;;7;0.2
INFOMED;2019;060800182;060002912;;;;;;;;1;;;;;0;0;0;0;0;1;0;0;1;0;;0.88;0.1
INFOMED;2019;070000013;070002878;;;;;1;;;1;;;;;0;0;0;0;0;1;1;0;0;1;260000047;3.5;0.2
INFOMED;2019;070000039;070780119;;1;;;;;;1;;;;;1;0;1;1;1;0;0;0;0;1;070000609;0.1;
INFOMED;2019;070000047;070780127;;1;;;;;;1;;;;;1;0;1;1;1;0;0;0;0;1;260000047;0.1;0
INFOMED;2019;070000062;070005558;;;1;;;;;;1;;;;0;0;1;1;1;0;;;0;1;;0.3;
INFOMED;2019;070000070;070780150;;1;;1;;;;1;;;;;0;0;0;1;1;0;0;0;0;0;;0;0
INFOMED;2019;070000096;070780184;;1;;;;;;1;;;;;0;0;1;1;0;;0;0;0;1;;0.5;0.15
INFOMED;2019;070000179;070780358;1;;;;;;1;;;;;;0;0;0;0;0;0;0;0;0;0;;2.1;1.33
INFOMED;2019;070000187;070780366;;;1;;;;;;1;;;;0;0;0;0;0;0;;;0;1;690780077;0;0
INFOMED;2019;070000195;070780374;;;1;;;;;;1;;;;0;0;0;0;0;0;0;0;1;1;260000013;0.5;0.22
INFOMED;2019;070000203;070780382;;1;;;;;;1;;;;;0;0;0;0;0;0;;;0;1;070000179;0.36;0.05
INFOMED;2019;070000609;070005566;;;1;;;1;;;1;;;1;0;0;0;0;0;0;0;0;0;1;;4.79;0
INFOMED;2019;070780226;750050759;;;;;;;1;;;;;;0;0;1;1;1;0;0;0;0;1;070005566;;
INFOMED;2019;070780234;750721300;;;;;;;;1;;;;;0;0;0;1;1;1;0;1;0;0;;0.05;0.04
INFOMED;2019;070780242;070000120;;;;;;;;;1;;;;0;0;0;0;0;0;0;0;0;0;;0.58;0.2
INFOMED;2019;070780317;630786754;;;;;;;;;;;1;;0;0;0;0;0;1;1;1;0;0;;2.5;0.55
INFOMED;2019;070780390;070000211;;;;;;;;;1;;;;0;0;0;0;0;1;1;1;1;1;070780358;0.1;0.1
INFOMED;2019;070780424;070000245;;;1;;;;;;;;;;0;0;0;0;0;0;;;0;0;;3.73;0.2
INFOMED;2019;070784897;750820680;;;;;;;1;;;;;;0;0;1;1;1;0;0;0;0;1;070005566;;
INFOMED;2019;080000110;080000037;;;1;;;;1;;;;;;0;0;0;0;0;1;1;0;0;1;080000615;6.07;0.17
INFOMED;2019;080000136;920030269;;;;;;;1;;;;;;0;0;0;0;0;0;;;0;0;;0.05;0
INFOMED;2019;080000219;080001969;;;;;1;;;1;;;;;0;0;0;0;0;1;1;0;1;0;;2;0.3
INFOMED;2019;080000250;540019726;;;;;;;;1;;;;;0;0;0;0;0;0;;;0;1;540009701;0.1;0.1
INFOMED;2019;080000268;540019726;;;;;;;;1;;;;;0;0;0;0;0;0;;;0;1;540009701;0.05;0.03
INFOMED;2019;080000284;080000060;;;1;;;;;;1;;;;0;0;1;1;1;0;0;0;0;1;080000615;0.3;0.05
INFOMED;2019;080000318;080000086;;;;;;;;;;1;;;0;0;0;0;0;0;0;0;0;0;;1;0.6
INFOMED;2019;080000425;080000615;;;1;;;;;;;;;;0;0;0;0;1;1;1;0;0;0;;10;0.47
INFOMED;2019;080002140;540019726;;;;;;;;1;;;;;0;0;0;0;0;0;;;0;;540009701;0.05;0.02
INFOMED;2019;080010473;080010242;;;1;;;;;;;;;;0;0;0;0;0;0;;;0;0;;2;0.2
