BOR;AN;FI;FI_EJ;PERSO;EFFPL;EFFPA;ETP;GAR;AST
DIALYSE_P;2019;130008287;130006810;NAUT;3;;3.72;;
DIALYSE_P;2019;130008287;130006810;NCINF;;3;2.13;;
DIALYSE_P;2019;130024268;940023591;M1110;;1;1;0;0
DIALYSE_P;2019;130024268;940023591;N2500;2;;2;;
DIALYSE_P;2019;130024268;940023591;N4100;;;0.2;;
DIALYSE_P;2019;130024268;940023591;NAUT;1;1;1.75;;
DIALYSE_P;2019;130024268;940023591;NCINF;6;3;6.97;;
DIALYSE_P;2019;130034002;130006562;M1110;1;0;1;;
DIALYSE_P;2019;130034002;130006562;N4100;;3;0.41;;
DIALYSE_P;2019;130034002;130006562;NAUT;4;5;3.2;;
DIALYSE_P;2019;130034002;130006562;NCINF;6;0;6;;
DIALYSE_P;2019;130034044;130006562;M1110;;3;0.7;0;1
DIALYSE_P;2019;130034044;130006562;N4100;;3;0.41;;
DIALYSE_P;2019;130034044;130006562;NAUT;2;5;2.5;;
DIALYSE_P;2019;130034044;130006562;NCINF;6;;6;;
DIALYSE_P;2019;130034093;130006562;M1110;;3;2.4;0;1
DIALYSE_P;2019;130034093;130006562;NAUT;5;1;5.5;;
DIALYSE_P;2019;130034093;130006562;NCINF;7;;7;;
DIALYSE_P;2019;130034531;130006562;M1110;3;;3;;1
DIALYSE_P;2019;130034531;130006562;N2500;6;;6;;
DIALYSE_P;2019;130034531;130006562;N4100;;1;0.5;;
DIALYSE_P;2019;130034531;130006562;NAUT;6;5;6.26;;
DIALYSE_P;2019;130034531;130006562;NCINF;22;4;24.83;;
DIALYSE_P;2019;130034556;130016058;M1110;;1;0.1;0;0
DIALYSE_P;2019;130034556;130016058;NCINF;1;1;1.12;;
DIALYSE_P;2019;130034614;130006810;M1110;3;1;2.31;0;1
DIALYSE_P;2019;130034614;130006810;N4100;1;2;0.89;;
DIALYSE_P;2019;130034614;130006810;NAUT;3;3;3.64;;
DIALYSE_P;2019;130034614;130006810;NCINF;2;4;2.13;;
DIALYSE_P;2019;130035223;130001415;M1110;;1;0.2;0;1
DIALYSE_P;2019;130035223;130001415;N2500;;1;1;;
DIALYSE_P;2019;130035959;130006810;M1110;1;;0.9;0;1
DIALYSE_P;2019;130035959;130006810;N4100;;;0.41;;
DIALYSE_P;2019;130035959;130006810;NAUT;1;3;3.22;;
DIALYSE_P;2019;130035959;130006810;NCINF;;5;3.16;;
DIALYSE_P;2019;130036650;130016058;M1110;;;0.1;0;0
DIALYSE_P;2019;130036650;130016058;NCINF;3;;2.12;;
DIALYSE_P;2019;130038003;130029218;M1110;5;;4.9;0;0
DIALYSE_P;2019;130038003;130029218;N2500;8;2;9.21;;
DIALYSE_P;2019;130038003;130029218;NAUT;2;1;2.5;;
DIALYSE_P;2019;130038003;130029218;NCINF;27;;29.45;;
DIALYSE_P;2019;130038045;130006562;M1110;1;;0.1;0;1
DIALYSE_P;2019;130038045;130006562;NAUT;1;;0.28;;
DIALYSE_P;2019;130038045;130006562;NCINF;1;;0.9;;
DIALYSE_P;2019;130044845;130016058;M1110;;1;0.1;0;0
DIALYSE_P;2019;130044845;130016058;NCINF;3;1;3.62;;
DIALYSE_P;2019;130781867;130000813;M1110;;3;1.5;0;0
DIALYSE_P;2019;130781867;130000813;NAUT;1;1;1.72;;
DIALYSE_P;2019;130781867;130000813;NCINF;5;;4.94;;
DIALYSE_P;2019;130783236;130786049;M1110;2;1;2.47;;
DIALYSE_P;2019;130783236;130786049;N2500;16;2;16.47;;
DIALYSE_P;2019;130783236;130786049;NAUT;6;1;6.55;;
DIALYSE_P;2019;130783236;130786049;NCINF;48;11;52.4;;
