BOR;AN;FI;FI_EJ;ANTGEO;NB_ANT;FI1;FI2;FI3;POP;EMSP;EQDOU;TELESUR;TELECONS;INDOM;ASTR;CONVPER;CONV;AUTMED;PLAMED;AUTOBS;PLAOBS;AUTSSR;PLASSR;AUTCAN;PLACAN;PLATOT;SEJ_HAD;SEJ_PER;SEJ_PAL;SEJ_CAN;JOU_HAD;JOU_PER;JOU_PAL;JOU_CAN;FIL_HAD;FIL_PER;FIL_PAL;FIL_CAN;P80_HAD;P80_PAL;P80_CAN;PMS_HAD;PMS_PER;PMS_PAL;PMS_CAN
HAD;2019;2B0001739;2B0001689;0;;;;;142977;1;0;0;0;1;1;;;0;;0;;0;;0;;50;280;0;8;37;10044;0;102;1422;207;0;8;19;73;6;5;10;0;2;1
HAD;2019;2B0003289;2B0003198;0;;;;;;0;0;0;0;1;1;;;1;85;0;;0;;0;;85;742;0;227;432;26892;0;11054;9186;314;0;140;134;109;52;24;34;0;4;1
HAD;2019;300000031;300780053;1;3;300000031;300000056;300000064;178000;1;0;0;0;1;1;;;1;13;0;;0;;0;;13;269;0;37;126;7038;0;1213;1344;80;0;23;23;15;7;4;4;0;0;1
HAD;2019;300000056;300780079;1;2;300000031;;;20000;1;1;0;0;1;1;1;0;1;5;0;;0;;1;5;5;59;0;13;18;1123;0;179;78;39;0;12;5;12;5;0;5;0;1;0
HAD;2019;300000064;300780087;0;;;;;93000;1;1;0;0;1;1;;;1;4;0;;1;2;1;2;8;139;0;39;30;2531;0;745;181;92;0;37;4;53;20;1;21;0;10;0
HAD;2019;300012309;420002438;0;;;;;;1;1;;;1;1;;;1;30;0;;0;;0;;30;306;0;111;6;11735;0;3415;160;236;0;103;2;106;59;0;61;0;41;0
HAD;2019;300013745;420002438;0;;;;;70000;0;0;0;1;1;1;;;1;30;0;;0;;0;;30;287;0;116;4;8988;0;2920;93;230;0;104;4;97;61;0;49;0;34;0
HAD;2019;300013778;300013760;0;;;;;400000;0;0;0;0;1;1;;;1;56;0;;0;;0;;56;635;0;362;6;20808;0;9705;166;497;0;317;4;225;175;0;111;0;88;0
HAD;2019;310005459;310021886;1;2;310005459;310005459;;990000;0;0;0;0;1;1;;;1;130;1;14;0;;0;;144;2042;187;418;561;42957;4019;13139;2478;1074;161;332;103;237;105;28;81;1;26;0
HAD;2019;310016977;310781406;0;;;;;;1;1;0;0;0;1;;;0;10;0;;0;;0;;10;286;177;1;0;3111;1428;12;0;239;152;1;0;0;0;0;0;0;0;0
HAD;2019;310780259;310000096;1;2;310780259;310780259;;887472;0;0;0;0;1;1;0;0;1;80;0;;0;;1;5;85;1471;0;363;464;31682;0;10198;2387;817;0;295;101;233;85;7;77;0;16;0
HAD;2019;320004328;310000096;0;;;;;196930;0;0;0;0;1;1;0;0;1;30;0;;0;;0;;30;277;0;74;15;8508;0;2429;143;186;0;64;5;48;19;2;12;0;5;0
HAD;2019;330000332;330780545;1;2;330000332;;;351000;1;0;0;0;1;1;0;0;1;112;0;;0;;1;112;112;1108;0;402;72;33698;0;14381;867;547;0;276;17;172;100;0;65;0;31;0
