BOR;AN;FI;FI_EJ;PERSO;EFFPL;EFFPA;ETP;GAR;AST;DISU;DISHU
IMAGES_P;2019;090001629;090781774;N4130;3;1;3.5;0;1;;
IMAGES_P;2019;100000090;100000017;M1160;6;2;7.57;0;1;0;0
IMAGES_P;2019;100000090;100000017;M1210;2;4;3.01;0;0;;
IMAGES_P;2019;100000090;100000017;N4130;36;12;44.83;1;1;;
IMAGES_P;2019;100000090;100000017;N4160;2;0;1.25;;;;
IMAGES_P;2019;100000090;100000017;NAUT;18;13;24.21;;;;
IMAGES_P;2019;100000124;100009075;M1160;;;;;1;0;0
IMAGES_P;2019;100000124;100009075;M1210;;;;;1;;
IMAGES_P;2019;100000124;100009075;N4130;;;;;1;;
IMAGES_P;2019;100010818;100010792;M1160;5;0;5;0;1;0;0
IMAGES_P;2019;100010818;100010792;N4130;10;0;10;0;1;;
IMAGES_P;2019;100010818;100010792;N4160;2;0;1;;;;
IMAGES_P;2019;100010818;100010792;NAUT;11;2;12.37;;;;
IMAGES_P;2019;110000023;110780061;M1160;4;1;4.65;;;;
IMAGES_P;2019;110000023;110780061;M1210;2;3;3.12;;;;
IMAGES_P;2019;110000023;110780061;N4130;20;19;30.09;;;;
IMAGES_P;2019;110000023;110780061;N4160;2;;2.53;;;;
IMAGES_P;2019;110000023;110780061;NAUT;18;4;20.21;;;;
IMAGES_P;2019;110000049;110780087;M1160;0;0;0.6;0;0;0;0
IMAGES_P;2019;110000049;110780087;N4130;7;1;6.88;0;1;;
IMAGES_P;2019;110000056;110780137;M1160;4;0;4;0;1;0;0
IMAGES_P;2019;110000056;110780137;N4130;17;5;19.77;0;0;;
IMAGES_P;2019;110000056;110780137;N4160;1;0;0.05;;;;
IMAGES_P;2019;110000056;110780137;NAUT;6;2;7;;;;
IMAGES_P;2019;120000039;120780044;M1160;3;2;4.13;1;1;;
IMAGES_P;2019;120000039;120780044;M1210;1;0;1.18;0;0;;
IMAGES_P;2019;120000039;120780044;N4130;18;12;25.34;1;0;;
IMAGES_P;2019;120000039;120780044;N4160;0;1;0.5;;;;
IMAGES_P;2019;120000039;120780044;NAUT;3;10;6.02;;;;
IMAGES_P;2019;120000054;120780069;M1160;2;0;1.9;0;1;;
IMAGES_P;2019;120000054;120780069;N4130;10;3;12.4;0;1;;
IMAGES_P;2019;120000054;120780069;N4160;1;0;1;;;;
IMAGES_P;2019;120000054;120780069;NAUT;1;0;1;;;;
IMAGES_P;2019;120000070;120780085;M1160;;4;1.74;0;1;0;0
IMAGES_P;2019;120000070;120780085;N4130;7;2;8.6;0;1;;
IMAGES_P;2019;120000070;120780085;N4160;;1;0.9;;;;
IMAGES_P;2019;120000070;120780085;NAUT;4;;4;;;;
IMAGES_P;2019;120000088;120780093;N4130;;1;0.2;0;0;;
IMAGES_P;2019;120000096;120780101;N4130;0;1;0.8;0;0;;
IMAGES_P;2019;120004569;120004528;M1160;1;1;2.34;0;1;1;0
IMAGES_P;2019;120004569;120004528;N4130;11;2;12.99;0;1;;
IMAGES_P;2019;120004569;120004528;N4160;1;;1;;;;
IMAGES_P;2019;120004569;120004528;NAUT;4;1;4.91;;;;
IMAGES_P;2019;120004668;120004619;M1160;;;;0;1;0;0
IMAGES_P;2019;120004668;120004619;N4130;3;1;5.4;0;1;;
IMAGES_P;2019;120004668;120004619;N4160;;1;0.69;;;;
IMAGES_P;2019;120004668;120004619;NAUT;2;4;5.12;;;;
IMAGES_P;2019;130000409;130041916;M1160;28;0;6.08;0;1;0;0
IMAGES_P;2019;130000409;130041916;M1210;4;1;4.27;0;0;;
IMAGES_P;2019;130000409;130041916;N4130;30;26;45.65;1;1;;
IMAGES_P;2019;130000409;130041916;N4160;1;2;1.8;;;;
IMAGES_P;2019;130000409;130041916;NAUT;26;17;34.37;;;;
IMAGES_P;2019;130000433;130781131;N4130;;1;0.5;0;0;;
IMAGES_P;2019;130000516;130781339;M1160;;1;0.2;0;0;0;0
IMAGES_P;2019;130000516;130781339;N4130;2;;2;0;0;;
IMAGES_P;2019;130000516;130781339;NAUT;1;;0.5;;;;
IMAGES_P;2019;130000565;130781446;M1160;3;3;3.82;0;1;1;0
IMAGES_P;2019;130000565;130781446;N4130;13;8;18.81;0;1;;
IMAGES_P;2019;130000565;130781446;N4160;;1;0.8;;;;
IMAGES_P;2019;130000565;130781446;NAUT;1;;1;;;;
IMAGES_P;2019;130001225;130782634;M1160;3;2;3.53;1;1;0;1
IMAGES_P;2019;130001225;130782634;N4130;11;7;16;1;1;;
IMAGES_P;2019;130001225;130782634;N4160;1;;1;;;;
IMAGES_P;2019;130001225;130782634;NAUT;5;;5.63;;;;
IMAGES_P;2019;130001647;130784127;M1160;12;3;12.45;0;1;0;0
IMAGES_P;2019;130001647;130784127;M1210;6;1;5.07;0;0;;
IMAGES_P;2019;130001647;130784127;N4130;49;6;48.98;0;1;;
IMAGES_P;2019;130001647;130784127;N4160;4;;4;;;;
IMAGES_P;2019;130001647;130784127;NAUT;26;6;30.39;;;;
IMAGES_P;2019;130002215;130785512;M1160;;4;2.3;0;1;0;0
IMAGES_P;2019;130002215;130785512;N4130;12;;12;1;0;;
IMAGES_P;2019;130002215;130785512;N4160;;1;0.5;;;;
IMAGES_P;2019;130002215;130785512;NAUT;6;;6;;;;
IMAGES_P;2019;130002827;130789274;N4130;15;5;19.11;1;;;
IMAGES_P;2019;130002827;130789274;N4160;1;0;1;;;;
IMAGES_P;2019;130002827;130789274;NAUT;8;2;8.73;;;;
IMAGES_P;2019;130002835;130789316;M1160;2;2;3.35;0;1;0;0
IMAGES_P;2019;130002835;130789316;N4130;16;10;23.91;1;0;;
IMAGES_P;2019;130002835;130789316;N4160;1;;1;;;;
IMAGES_P;2019;130002835;130789316;NAUT;5;5;8.7;;;;
IMAGES_P;2019;130037922;130037823;M1160;5;;5;0;1;0;0
IMAGES_P;2019;130037922;130037823;M1210;2;;2;0;0;;
IMAGES_P;2019;130037922;130037823;N4130;17;;17;0;1;;
IMAGES_P;2019;130037922;130037823;N4160;1;;1;;;;
IMAGES_P;2019;130037922;130037823;NAUT;25;;25;;;;
IMAGES_P;2019;130041767;130041262;N4130;4;;4.26;0;1;;
IMAGES_P;2019;130041767;130041262;N4160;1;;1;;;;
IMAGES_P;2019;130041767;130041262;NAUT;4;;4;;;;
IMAGES_P;2019;130042096;130042062;M1160;;21;5.6;0;1;0;0
IMAGES_P;2019;130042096;130042062;N4130;4;;4;0;1;;
IMAGES_P;2019;130042096;130042062;N4160;1;;1;;;;
IMAGES_P;2019;130042526;310021399;M1160;;1;0.1;0;0;0;0
IMAGES_P;2019;130042526;310021399;N4130;1;;1;0;0;;
IMAGES_P;2019;130043664;130002157;N4130;13;1;12.7;;;;
IMAGES_P;2019;130043664;130002157;N4160;2;;2;;;;
IMAGES_P;2019;130043664;130002157;NAUT;21;;19.76;;;;
IMAGES_P;2019;130780521;130786049;M1160;9;9;10.05;1;1;1;0
IMAGES_P;2019;130780521;130786049;M1210;1;1;1.9;0;0;;
IMAGES_P;2019;130780521;130786049;N4130;87;8;92.69;;;;
IMAGES_P;2019;130780521;130786049;N4160;2;1;2.6;;;;
IMAGES_P;2019;130780521;130786049;NAUT;19;6;19.51;;;;
IMAGES_P;2019;130781438;130000557;N4130;;1;0.26;0;0;;
IMAGES_P;2019;130781479;130000599;M1160;2;17;10.5;0;1;0;1
IMAGES_P;2019;130781479;130000599;M1210;2;;2;0;1;;
IMAGES_P;2019;130781479;130000599;N4130;16;4;18;0;1;;
IMAGES_P;2019;130781479;130000599;N4160;5;1;5.5;;;;
IMAGES_P;2019;130781479;130000599;NAUT;16;;16;;;;
IMAGES_P;2019;130782147;130000979;M1160;3;;3;0;1;0;0
IMAGES_P;2019;130782147;130000979;N4130;7;;7;1;0;;
IMAGES_P;2019;130782147;130000979;NAUT;6;;6;;;;
IMAGES_P;2019;130783236;130786049;M1160;7;3;4.35;1;0;1;0
IMAGES_P;2019;130783236;130786049;N4130;25;5;28.74;1;1;;
IMAGES_P;2019;130783236;130786049;N4160;1;0;1.67;;;;
IMAGES_P;2019;130783236;130786049;NAUT;13;3;14.19;;;;
IMAGES_P;2019;130783293;130786049;M1160;14;16;15.6;1;1;1;0
IMAGES_P;2019;130783293;130786049;M1210;2;5;2.92;0;0;;
IMAGES_P;2019;130783293;130786049;N4130;129;9;131.87;1;1;;
IMAGES_P;2019;130783293;130786049;N4160;8;1;7.15;;;;
IMAGES_P;2019;130783293;130786049;NAUT;18;7;22.79;;;;
IMAGES_P;2019;130783327;130001415;M1160;;22;4.4;0;1;0;0
IMAGES_P;2019;130783327;130001415;N4130;9;1;9.8;0;1;;
IMAGES_P;2019;130783327;130001415;N4160;;1;0.5;;;;
IMAGES_P;2019;130783665;130043722;M1160;;3;2.35;0;0;0;0
IMAGES_P;2019;130783665;130043722;N4130;3;;3;0;0;;
IMAGES_P;2019;130783665;130043722;NAUT;3;1;3.42;;;;
IMAGES_P;2019;130783723;130001456;M1160;1;4;1.56;0;1;;
IMAGES_P;2019;130783723;130001456;N4130;2;;2.1;0;1;;
IMAGES_P;2019;130783723;130001456;N4160;1;;1.02;;;;
IMAGES_P;2019;130783723;130001456;NAUT;2;1;2.71;;;;
IMAGES_P;2019;130784051;130037823;M1160;8;8;8.8;0;1;0;0
IMAGES_P;2019;130784051;130037823;M1210;2;2;2.5;0;0;;
IMAGES_P;2019;130784051;130037823;N4130;27;2;28;;;;
IMAGES_P;2019;130784051;130037823;N4160;2;2;2.8;;;;
IMAGES_P;2019;130784051;130037823;NAUT;31;3;34;;;;
IMAGES_P;2019;130784234;130786049;M1160;14;16;15.6;1;0;1;0
IMAGES_P;2019;130784234;130786049;M1210;2;5;2.92;;;;
IMAGES_P;2019;130784234;130786049;N4130;27;3;29.24;0;1;;
IMAGES_P;2019;130784234;130786049;N4160;1;1;1.58;;;;
IMAGES_P;2019;130784234;130786049;NAUT;9;0;8.44;;;;
IMAGES_P;2019;130784598;130001852;M1160;;1;0.13;0;0;0;0
IMAGES_P;2019;130784598;130001852;N4130;;1;0.33;0;0;;
IMAGES_P;2019;130784713;130038847;M1160;9;12;15;0;1;;
IMAGES_P;2019;130784713;130038847;N4130;9;2;9.22;;1;;
IMAGES_P;2019;130784713;130038847;N4160;;1;0.5;;;;
IMAGES_P;2019;130784713;130038847;NAUT;11;;9.67;;;;
IMAGES_P;2019;130784903;130002041;M1160;;1;0.1;0;0;0;0
IMAGES_P;2019;130784903;130002041;N4130;;1;0.2;0;0;;
IMAGES_P;2019;130785389;130002173;M1160;;3;0.5;0;1;0;0
IMAGES_P;2019;130785389;130002173;N4130;2;;2;0;1;;
IMAGES_P;2019;130785389;130002173;NAUT;1;1;1.5;;;;
IMAGES_P;2019;130785652;130014228;M1160;3;17;10;0;0;0;0
IMAGES_P;2019;130785652;130014228;M1210;;;;1;1;;
IMAGES_P;2019;130785652;130014228;N4130;51;3;48.33;1;1;;
IMAGES_P;2019;130785652;130014228;N4160;2;1;2.25;;;;
IMAGES_P;2019;130785652;130014228;NAUT;47;5;41.08;;;;
IMAGES_P;2019;130785678;130002249;M1160;;11;5.5;0;1;0;
IMAGES_P;2019;130785678;130002249;N4130;5;;3.99;0;;;
IMAGES_P;2019;130785678;130002249;N4160;;1;0.5;;;;
IMAGES_P;2019;130785678;130002249;NAUT;12;;10.71;;;;
IMAGES_P;2019;130786445;130002488;M1160;;4;2.5;0;1;0;0
IMAGES_P;2019;130786445;130002488;N4130;4;2;5.5;;1;;
IMAGES_P;2019;130786445;130002488;N4160;1;;1;;;;
IMAGES_P;2019;130786742;750821092;M1160;6;0;6;0;1;1;0
IMAGES_P;2019;130786742;750821092;N4130;21;3;22.3;1;1;;
IMAGES_P;2019;130786742;750821092;N4160;1;0;1;;;;
IMAGES_P;2019;130786742;750821092;NAUT;1;1;1;;;;
IMAGES_P;2019;130786932;130002660;N4130;;1;0.26;0;0;;
IMAGES_P;2019;130804297;130786049;M1160;2;5;3.95;1;1;1;0
IMAGES_P;2019;130804297;130786049;N4130;15;2;15.83;1;0;;
IMAGES_P;2019;130804297;130786049;N4160;1;;1.1;;;;
IMAGES_P;2019;130804297;130786049;NAUT;6;6;7.71;;;;
IMAGES_P;2019;130809015;130001928;N4130;1;;0.6;0;0;;
IMAGES_P;2019;130810740;130007362;M1160;3;30;3.8;0;0;0;0
IMAGES_P;2019;130810740;130007362;N4130;5;0;5;0;1;;
IMAGES_P;2019;130810740;130007362;N4160;1;0;1;;;;
IMAGES_P;2019;130810740;130007362;NAUT;6;0;6;;;;
IMAGES_P;2019;140000027;140000035;M1160;1;1;1.83;;;;
IMAGES_P;2019;140000027;140000035;N4130;18;2;18.16;;;;
IMAGES_P;2019;140000027;140000035;N4160;1;;0.82;;;;
IMAGES_P;2019;140000027;140000035;NAUT;6;1;6.8;;;;
IMAGES_P;2019;140000076;140000092;M1160;;1;0.2;0;0;;
IMAGES_P;2019;140000076;140000092;N4130;2;2;3.38;0;0;;
IMAGES_P;2019;140000076;140000092;N4160;;1;0.1;;;;
IMAGES_P;2019;140000076;140000092;NAUT;1;1;1.9;;;;
IMAGES_P;2019;140000209;140000100;M1160;15;8;14.31;0;1;1;1
IMAGES_P;2019;140000209;140000100;M1210;5;2;3.61;0;0;;
IMAGES_P;2019;140000209;140000100;N4130;82;12;88.74;1;0;;
IMAGES_P;2019;140000209;140000100;N4160;6;;5.55;;;;
IMAGES_P;2019;140000209;140000100;NAUT;36;9;41.57;;;;
IMAGES_P;2019;140000233;140000118;M1160;1;2;2.58;0;1;1;0
IMAGES_P;2019;140000233;140000118;N4130;7;3;9.19;0;1;;
IMAGES_P;2019;140000233;140000118;N4160;;1;0.4;;;;
IMAGES_P;2019;140000233;140000118;NAUT;5;1;5.16;;;;
IMAGES_P;2019;140000373;140000159;M1160;1;2;1.7;;;0;0
IMAGES_P;2019;140000373;140000159;N4130;3;1;3.92;0;1;;
IMAGES_P;2019;140000373;140000159;N4160;;1;0.2;;;;
IMAGES_P;2019;140000373;140000159;NAUT;;1;0.5;;;;
IMAGES_P;2019;140000555;140000639;M1160;3;8;6.71;;;0;0
IMAGES_P;2019;140000555;140000639;M1210;4;3;4.63;;;;
IMAGES_P;2019;140000555;140000639;N4130;22;4;24.14;;;;
