BOR;AN;FI;FI_EJ;UNI;LIT;JLI;SEJ;PAS;PAS0;JOU;pctEXT;IGC2med;SEJ80;EFFPL_MED;EFFPA_MED;ETP_MED;EFFPL_INFSP;EFFPA_INFSP;ETP_INFSP;EFFPL_INFNS;EFFPA_INFNS;ETP_INFNS;EFFPL_AID;EFFPA_AID;ETP_AID;EFFPL_KINE;EFFPA_KINE;ETP_KINE;EFFPL_APNM;EFFPA_APNM;ETP_APNM
REA;2019;610000051;610780082;SITOT;12;4380;1189;;;3696;;;;;;;;;;;;;;;;;;;;;
REA;2019;610000051;610780082;SIUNV;4;1460;386;;;1285;;;;;;;1;;0.6;;10;5.04;;9;4.4;;;;15;;2.55
REA;2019;610000051;610780082;SURVADU;4;1460;2351;;;1202;;;;;;;;;;;1;1.8;;1;0.88;;;;;;
REA;2019;610000051;610780082;USIC;8;2920;803;;;2411;;;;;;;;;;;19;10.23;;16;9.18;;;;23;;2.66
REA;2019;610000069;610780090;SURVADU;4;1460;570;;;809;;;;1;;1.22;;;;4;1;4.13;2;1;2.8;;;;1;;1
REA;2019;610000119;610780165;REAADU;8;2920;235;237;11;2406;20;48;68;4;2;4.21;0;1;0.73;22;3;19.57;13;2;14.22;0;0;0;0;1;1.05
REA;2019;610000119;610780165;SURVADU;4;1460;234;;;859;;;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
REA;2019;610006421;610006413;SURVADU;4;1460;19;;;74;;;;;1;0.1;;;;;;;;;;;;;;;
REA;2019;620000026;620003814;AUTSI;0;192;18;;;489;;;;;;0.14;;;0.04;;;0.82;;;0.61;;;0.06;;;
REA;2019;620000026;620003814;REAADU;12;4188;150;150;1;3589;69;24;5;2;2;3.16;1;;0.96;20;2;18.78;13;2;14.01;1;1;1.44;;;
REA;2019;620000026;620003814;SITOT;0;192;18;;;489;;;;;;;;;;;;;;;;;;;;;
REA;2019;620000034;620100057;REAADU;15;5412;785;819;46;4328;11;42;139;3;7;7.09;1;;0.58;26;2;29.5;17;6;13.47;;;;1;;0.91
REA;2019;620000034;620100057;SITOT;11;4015;1076;;;3338;;;;;;;;;;;;;;;;;;;;;
REA;2019;620000034;620100057;SIUNV;5;1825;557;;;1488;;;;;4;1.2;;1;0.4;12;2;12.79;12;1;12.8;;;;;;
