BOR;AN;FI;FI_EJ;SMUR;GEN;SAIS;PED;ANT;FIAUTOR;ANTSAIS;SAMU;HMED;HIDE;HAMB;AMBLCE;VEHLEG;MOYAER;MOYMAR;SORTER1;SORTER2;dtTIH;SORAER1;SORAER2;SORMAR;SORTIES;SORTNM;PATDC;PATLSP;PATTSP;PATTRANM;TRAN;TRAN18;TRAN80;TRANSIEG;TRANAUT;APP;APR15;APD;APMIN;DR;DRM;DRMLIB;HMR;HMRAMU;HMRAM;ARM;NRML;NBLIB;NBSAL;CAR;SAMUSDIS
SMURSAMU;2019;130780521;130786049;1;0;0;0;1;130783293;0;0;168;168;168;2;0;0;0;1766;541;0;0;0;;2307;1130;106;16;67;941;2039;162;478;1097;942;;;;;;;;;;;;;;;;
SMURSAMU;2019;130783293;130786049;1;1;0;0;0;;0;1;336;336;336;8;4;1;;3513;1189;0;60;367;0;5129;2114;178;37;194;1705;4292;279;1057;2341;1951;808989;;662160;619513;580132;362453;219353;682;682;162;1610;0;31;;11491;0
SMURSAMU;2019;130804297;130786049;1;0;0;1;0;;0;0;168;168;168;2;0;1;0;241;901;;;;;1142;;7;1;37;106;1063;;0;516;547;;;;;;;;;;;;;;;;
SMURSAMU;2019;140000027;140000035;1;1;0;0;0;;0;0;170;170;170;;2;;;506;20;;;;;526;45;42;1;2;0;461;41;130;364;97;;;;;;;;;;;;;;;;
SMURSAMU;2019;140000209;140000100;1;1;0;1;0;;0;1;386;336;504;3;3;0;0;2557;1275;784;38;25;0;4679;607;310;8;69;227;2012;158;305;1371;641;299990;;255244;213970;146778;140538;58127;380;168;212;528;0;0;0;14905;0
SMURSAMU;2019;140000233;140000118;1;1;0;0;0;;0;0;168;175;175;2;2;;;311;25;;;;;336;118;56;1;19;42;224;17;57;152;72;;;;;;;;;;;;;;;;
SMURSAMU;2019;140000373;140000159;1;1;0;0;0;;0;0;168;168;168;0;1;0;0;408;112;0;0;0;0;520;92;72;20;0;0;315;23;97;214;101;;;;;;;;;;;;;;;;
SMURSAMU;2019;140024886;140000092;1;1;0;0;0;;0;0;168;168;168;;1;;;487;17;;;;;504;100;82;;18;;385;22;71;280;105;;;;;;;;;;;;;;;;
SMURSAMU;2019;140026410;140026279;1;1;0;0;0;;0;0;168;168;168;;1;;;507;70;;;;;577;92;72;;20;;411;39;83;222;189;;;;;;;;;;;;;;;;
SMURSAMU;2019;150000032;150780088;1;1;0;0;0;;0;0;168;168;0;0;2;0;0;413;114;0;0;2;0;529;221;49;0;50;114;355;71;135;268;87;;;;;;;;;;;;;;;;
SMURSAMU;2019;150000040;150780096;1;1;0;0;0;;0;1;253;253;253;2;2;1;0;1139;661;0;194;300;0;2294;602;102;8;308;192;1084;50;223;652;432;84623;7374;74035;66763;49708;37358;6301;188;168;20;189;1;20;0;540;0
