BOR;AN;FI;FI_EJ;PERSO;EFFPL;EFFPA;ETP;MOD;COMSMUR
URGENCES_P;2019;060780723;060004959;N1220;4;2;4.85;;
URGENCES_P;2019;060780723;060004959;N2500;1;0;1.2;;
URGENCES_P;2019;060780723;060004959;N2620;1;0;1.1;;
URGENCES_P;2019;060780723;060004959;N9999;10;4;11.98;;
URGENCES_P;2019;060780723;060004959;NINF;4;2;4.83;;
URGENCES_P;2019;060780947;060800174;M1140;7;6;8.63;;0
URGENCES_P;2019;060780947;060800174;M3020;1;0;0.1;;
URGENCES_P;2019;060780947;060800174;M9999;9;8;10.43;;0
URGENCES_P;2019;060780947;060800174;N1220;4;0;3.14;;0
URGENCES_P;2019;060780947;060800174;N2120;2;0;1.81;;0
URGENCES_P;2019;060780947;060800174;N2500;20;6;30.27;;
URGENCES_P;2019;060780947;060800174;N2620;1;0;0.8;;0
URGENCES_P;2019;060780947;060800174;N9999;64;12;80.99;;
URGENCES_P;2019;060780947;060800174;NINF;36;5;43.96;;0
URGENCES_P;2019;060785003;060785011;M3020;3;2;4.65;;
URGENCES_P;2019;060785003;060785011;M9999;12;48;31.57;3;1
URGENCES_P;2019;060785003;060785011;N1220;6;;4.38;;
URGENCES_P;2019;060785003;060785011;N2120;3;;1.46;;
URGENCES_P;2019;060785003;060785011;N2500;62;3;56.78;;
URGENCES_P;2019;060785003;060785011;N9999;213;15;193.23;;
URGENCES_P;2019;060785003;060785011;NINF;88;9;79.51;;
URGENCES_P;2019;070000013;070002878;M9999;2;1;3.13;2;1
URGENCES_P;2019;070000013;070002878;N1220;1;;0.02;2;1
URGENCES_P;2019;070000013;070002878;N2120;1;;1;2;1
URGENCES_P;2019;070000013;070002878;N2500;4;2;5.33;;
URGENCES_P;2019;070000013;070002878;N9999;16;2;16.35;;
URGENCES_P;2019;070000013;070002878;NINF;10;0;9.72;2;1
URGENCES_P;2019;070000179;070780358;M9999;11;2;7.44;3;1
URGENCES_P;2019;070000179;070780358;N1220;0;2;1.54;3;1
URGENCES_P;2019;070000179;070780358;N2120;1;0;0.9;3;1
URGENCES_P;2019;070000179;070780358;N2500;20;5;20.12;;
URGENCES_P;2019;070000179;070780358;N9999;45;22;54.73;;
URGENCES_P;2019;070000179;070780358;NINF;17;10;22.19;3;1
URGENCES_P;2019;070000609;070005566;M9999;6;3;7.09;3;1
URGENCES_P;2019;070000609;070005566;N1220;11;2;11.47;3;1
URGENCES_P;2019;070000609;070005566;N2120;1;0;1;;
URGENCES_P;2019;070000609;070005566;N2500;10;2;11.73;;
URGENCES_P;2019;070000609;070005566;N3120;0;1;0.08;;
URGENCES_P;2019;070000609;070005566;N9999;42;7;45.5;;
URGENCES_P;2019;070000609;070005566;NINF;20;2;21.21;3;1
URGENCES_P;2019;070780424;070000245;M9999;3;2;4;;
URGENCES_P;2019;070780424;070000245;N2120;1;;0.93;;
URGENCES_P;2019;070780424;070000245;N2500;6;2;8.93;;
URGENCES_P;2019;070780424;070000245;N2620;2;;2.21;;
URGENCES_P;2019;070780424;070000245;N9999;17;2;22.2;;
URGENCES_P;2019;070780424;070000245;NINF;8;;10.13;;
URGENCES_P;2019;080000110;080000037;M9999;2;5;5.26;2;1
URGENCES_P;2019;080000110;080000037;N1220;4;;3.81;;
URGENCES_P;2019;080000110;080000037;N2120;;1;0.5;;
URGENCES_P;2019;080000110;080000037;N2500;6;2;7.94;;
URGENCES_P;2019;080000110;080000037;N2620;5;;5;;
URGENCES_P;2019;080000110;080000037;N3120;1;;1;;
URGENCES_P;2019;080000110;080000037;N9999;34;3;35.93;;
URGENCES_P;2019;080000110;080000037;NINF;18;;17.68;;
URGENCES_P;2019;080000219;080001969;M9999;3;6;4.14;3;1
URGENCES_P;2019;080000219;080001969;N2120;;1;0.04;;0
URGENCES_P;2019;080000219;080001969;N2500;2;6;4.31;;
URGENCES_P;2019;080000219;080001969;N9999;2;26;11.23;;
URGENCES_P;2019;080000219;080001969;NINF;;19;6.88;3;1
URGENCES_P;2019;080000276;080001969;M9999;;3;0.66;3;1
URGENCES_P;2019;080000276;080001969;N1220;;1;0.4;;1
URGENCES_P;2019;080000276;080001969;N2120;;1;0.04;3;0
URGENCES_P;2019;080000276;080001969;N9999;7;7;9.69;;
URGENCES_P;2019;080000276;080001969;NINF;7;5;9.25;;1
URGENCES_P;2019;080000425;080000615;M1140;4;;0.8;;0
URGENCES_P;2019;080000425;080000615;M9999;23;;11.9;3;1
URGENCES_P;2019;080000425;080000615;N1220;2;1;2.86;;0
URGENCES_P;2019;080000425;080000615;N2120;1;;1;;0
URGENCES_P;2019;080000425;080000615;N2500;16;3;18.58;;
URGENCES_P;2019;080000425;080000615;N3120;1;;1;;
URGENCES_P;2019;080000425;080000615;N9999;61;39;83.44;;
URGENCES_P;2019;080000425;080000615;NINF;34;25;48.96;;0
URGENCES_P;2019;090000175;090781774;M9999;;31;14.75;;1
URGENCES_P;2019;090000175;090781774;N1220;5;1;5.84;;
URGENCES_P;2019;090000175;090781774;N2120;;1;0.6;;1
URGENCES_P;2019;090000175;090781774;N2500;;29;24.3;;
URGENCES_P;2019;090000175;090781774;N9999;5;66;58.67;;
URGENCES_P;2019;090000175;090781774;NINF;;35;27.93;;1
URGENCES_P;2019;090000183;090781816;M9999;9;2;4.45;;0
URGENCES_P;2019;090000183;090781816;N1220;3;;0.8;;0
URGENCES_P;2019;090000183;090781816;N2120;1;;0.05;2;1
URGENCES_P;2019;090000183;090781816;N2500;3;;3;;
URGENCES_P;2019;090000183;090781816;N9999;16;1;10.05;;
URGENCES_P;2019;090000183;090781816;NINF;9;1;6.2;;0
URGENCES_P;2019;090001629;090781774;M9999;;21;4.69;;0
URGENCES_P;2019;090001629;090781774;N2120;;1;0.1;;0
URGENCES_P;2019;090001629;090781774;N2500;2;;2.29;;
URGENCES_P;2019;090001629;090781774;N9999;8;1;8.19;;
URGENCES_P;2019;090001629;090781774;NINF;6;;5.8;;0
URGENCES_P;2019;100000090;100000017;M1140;0;4;1.3;;0
URGENCES_P;2019;100000090;100000017;M9999;1;32;16.3;3;1
URGENCES_P;2019;100000090;100000017;N1220;2;0;2;;0
URGENCES_P;2019;100000090;100000017;N2120;1;0;1;;0
URGENCES_P;2019;100000090;100000017;N2500;27;1;27.14;;
URGENCES_P;2019;100000090;100000017;N3120;0;2;0.6;;
URGENCES_P;2019;100000090;100000017;N9999;80;20;89.83;;
URGENCES_P;2019;100000090;100000017;NINF;38;11;44.02;1;1
URGENCES_P;2019;100000199;100006279;M9999;6;0;5.7;3;1
URGENCES_P;2019;100000199;100006279;N1220;2;0;1.2;;0
URGENCES_P;2019;100000199;100006279;N2120;1;0;0.6;;1
URGENCES_P;2019;100000199;100006279;N2500;3;1;2.8;;
URGENCES_P;2019;100000199;100006279;N9999;19;1;18.3;;
URGENCES_P;2019;100000199;100006279;NINF;13;0;13.7;3;1
URGENCES_P;2019;110000023;110780061;M9999;;30;7.36;1;1
URGENCES_P;2019;110000023;110780061;N1220;;4;1.69;1;1
URGENCES_P;2019;110000023;110780061;N2120;2;1;1.81;;0
URGENCES_P;2019;110000023;110780061;N2500;23;2;25.15;;
URGENCES_P;2019;110000023;110780061;N2620;9;1;9.17;;0
URGENCES_P;2019;110000023;110780061;N9999;63;19;69.9;;
URGENCES_P;2019;110000023;110780061;NINF;29;11;32.08;;0
URGENCES_P;2019;110000049;110780087;M9999;5;4;7.24;;1
URGENCES_P;2019;110000049;110780087;N1220;1;0;1;;0
URGENCES_P;2019;110000049;110780087;N2120;0;1;0.5;;0
URGENCES_P;2019;110000049;110780087;N2500;6;0;6.01;;
URGENCES_P;2019;110000049;110780087;N9999;13;4;15.47;;
URGENCES_P;2019;110000049;110780087;NINF;6;3;7.96;;0
URGENCES_P;2019;110000056;110780137;M9999;15;11;20.71;3;1
URGENCES_P;2019;110000056;110780137;N1220;1;;1;;
URGENCES_P;2019;110000056;110780137;N2120;2;;2;;
URGENCES_P;2019;110000056;110780137;N2500;13;2;14.2;;
URGENCES_P;2019;110000056;110780137;N9999;48;6;35.07;;
URGENCES_P;2019;110000056;110780137;NINF;32;4;17.87;;
URGENCES_P;2019;110780228;110000114;M9999;;5;4;;
URGENCES_P;2019;110780228;110000114;N1220;2;1;2.5;;
URGENCES_P;2019;110780228;110000114;N2120;1;;0.91;;
URGENCES_P;2019;110780228;110000114;N2500;2;;1.02;;
URGENCES_P;2019;110780228;110000114;N9999;15;1;14.33;;
URGENCES_P;2019;110780228;110000114;NINF;10;;9.9;;
URGENCES_P;2019;110780483;110000155;M9999;3;;3;;
URGENCES_P;2019;110780483;110000155;N1220;2;;2.25;;
URGENCES_P;2019;110780483;110000155;N2120;1;;1;;
URGENCES_P;2019;110780483;110000155;N2500;4;;4.5;;
URGENCES_P;2019;110780483;110000155;N9999;16;;17.75;;
URGENCES_P;2019;110780483;110000155;NINF;9;;10;;
URGENCES_P;2019;120000039;120780044;M9999;0;23;19.37;1;1
URGENCES_P;2019;120000039;120780044;N1220;;4;3.38;;1
URGENCES_P;2019;120000039;120780044;N2120;;;0.03;;1
URGENCES_P;2019;120000039;120780044;N2500;15;2;16.09;;
URGENCES_P;2019;120000039;120780044;N3120;;2;1.47;;
URGENCES_P;2019;120000039;120780044;N9999;36;21;47.13;;
URGENCES_P;2019;120000039;120780044;NINF;21;11;25.24;;1
URGENCES_P;2019;120000054;120780069;M9999;0;8;6.05;2;1
URGENCES_P;2019;120000054;120780069;N1220;1;1;1.5;;0
URGENCES_P;2019;120000054;120780069;N2120;0;1;0.5;2;1
URGENCES_P;2019;120000054;120780069;N2500;5;0;4.53;;
URGENCES_P;2019;120000054;120780069;N9999;14;6;18.13;;
URGENCES_P;2019;120000054;120780069;NINF;8;4;11.55;2;1
URGENCES_P;2019;120000070;120780085;M9999;;17;6.78;3;1
URGENCES_P;2019;120000070;120780085;N1220;1;;1;3;1
URGENCES_P;2019;120000070;120780085;N2120;;1;0.5;3;1
URGENCES_P;2019;120000070;120780085;N2500;5;;5;;
URGENCES_P;2019;120000070;120780085;N3120;;1;0.1;;
URGENCES_P;2019;120000070;120780085;N9999;21;3;21.75;;
URGENCES_P;2019;120000070;120780085;NINF;14;1;14.15;3;1
URGENCES_P;2019;120004569;120004528;M9999;6;2;8.67;2;1
URGENCES_P;2019;120004569;120004528;N1220;1;;0.3;;
URGENCES_P;2019;120004569;120004528;N2120;1;;0.5;;0
URGENCES_P;2019;120004569;120004528;N2500;4;5;3.44;;
URGENCES_P;2019;120004569;120004528;N3120;1;;0.26;;
URGENCES_P;2019;120004569;120004528;N9999;18;9;13.75;;
URGENCES_P;2019;120004569;120004528;NINF;11;4;8.28;;0
URGENCES_P;2019;120004668;120004619;M9999;;9;2.68;1;1
URGENCES_P;2019;120004668;120004619;N1220;;1;0.25;;0
URGENCES_P;2019;120004668;120004619;N2120;;1;0.24;1;1
URGENCES_P;2019;120004668;120004619;N2500;4;;3.5;;
URGENCES_P;2019;120004668;120004619;N9999;13;9;12.57;;
URGENCES_P;2019;120004668;120004619;NINF;9;7;8.57;1;1
URGENCES_P;2019;130000409;130041916;M1140;0;7;0.63;;
URGENCES_P;2019;130000409;130041916;M9999;5;39;22.28;3;1
URGENCES_P;2019;130000409;130041916;N1220;;3;1.75;1;1
URGENCES_P;2019;130000409;130041916;N2120;1;2;1.58;;
URGENCES_P;2019;130000409;130041916;N2500;40;14;46.33;;
URGENCES_P;2019;130000409;130041916;N2620;1;;1;;
URGENCES_P;2019;130000409;130041916;N9999;90;46;115.79;;
URGENCES_P;2019;130000409;130041916;NINF;37;23;53.58;;
URGENCES_P;2019;130000565;130781446;M1140;;9;3.4;;0
URGENCES_P;2019;130000565;130781446;M9999;5;19;10.83;2;1
URGENCES_P;2019;130000565;130781446;N1220;2;2;3.01;3;1
URGENCES_P;2019;130000565;130781446;N2120;;1;0.9;3;1
URGENCES_P;2019;130000565;130781446;N2500;10;3;13.92;;
URGENCES_P;2019;130000565;130781446;N2620;13;2;13.4;;0
URGENCES_P;2019;130000565;130781446;N9999;40;18;52.24;;
URGENCES_P;2019;130000565;130781446;NINF;15;10;21.01;3;1
URGENCES_P;2019;130001225;130782634;M9999;2;7;15.96;2;1
URGENCES_P;2019;130001225;130782634;N1220;1;3;2.51;2;1
URGENCES_P;2019;130001225;130782634;N2120;;1;0.6;2;1
URGENCES_P;2019;130001225;130782634;N2500;13;2;13.77;;
URGENCES_P;2019;130001225;130782634;N2620;3;3;6.94;2;1
URGENCES_P;2019;130001225;130782634;N9999;48;15;53.34;;
URGENCES_P;2019;130001225;130782634;NINF;26;6;27.66;2;1
URGENCES_P;2019;130002215;130785512;M9999;6;3;7.8;;
URGENCES_P;2019;130002215;130785512;N1220;1;;1;;
URGENCES_P;2019;130002215;130785512;N2120;1;0;1;;
URGENCES_P;2019;130002215;130785512;N2500;3;1;3.6;;
URGENCES_P;2019;130002215;130785512;N2620;7;;7;;
URGENCES_P;2019;130002215;130785512;N9999;26;2;27.4;;
URGENCES_P;2019;130002215;130785512;NINF;14;1;14.8;;
URGENCES_P;2019;130002827;130789274;M3020;0;2;0.2;;
URGENCES_P;2019;130002827;130789274;M9999;3;8;6.82;;
URGENCES_P;2019;130002827;130789274;N1220;2;1;2.3;;
URGENCES_P;2019;130002827;130789274;N2120;0;2;0.57;;
URGENCES_P;2019;130002827;130789274;N2500;19;1;18.56;;
URGENCES_P;2019;130002827;130789274;N3120;0;2;0.8;;
URGENCES_P;2019;130002827;130789274;N9999;44;21;50.25;;
URGENCES_P;2019;130002827;130789274;NINF;23;8;25.21;;
URGENCES_P;2019;130002835;130789316;M9999;6;7;9.74;1;1
URGENCES_P;2019;130002835;130789316;N1220;;9;6.7;1;1
URGENCES_P;2019;130002835;130789316;N2120;;1;0.83;2;1
URGENCES_P;2019;130002835;130789316;N2500;11;12;13.55;;
URGENCES_P;2019;130002835;130789316;N2620;;;0;;1
URGENCES_P;2019;130002835;130789316;N9999;11;66;55.19;;
URGENCES_P;2019;130002835;130789316;NINF;;37;28.56;1;1
URGENCES_P;2019;130043664;130002157;M9999;7;12;14.44;;
URGENCES_P;2019;130043664;130002157;N1220;7;;6.21;;
URGENCES_P;2019;130043664;130002157;N2120;1;;1;;
URGENCES_P;2019;130043664;130002157;N2500;12;1;10.2;;
URGENCES_P;2019;130043664;130002157;N2620;2;;2;;
URGENCES_P;2019;130043664;130002157;N9999;51;6;46.98;;
URGENCES_P;2019;130043664;130002157;NINF;29;5;27.57;;
URGENCES_P;2019;130780521;130786049;M1140;2;2;3.56;;
URGENCES_P;2019;130780521;130786049;M9999;23;14;26.52;;
URGENCES_P;2019;130780521;130786049;N1220;3;1;3.8;;
