BOR;AN;FI;FI_EJ;PERSO;EFFPL;EFFPA;ETP
SSR_P;2019;020000303;750814030;N2430;3;1;3.43
SSR_P;2019;020000303;750814030;N2450;3;1;3.59
SSR_P;2019;020000303;750814030;N2460;12;1;10.82
SSR_P;2019;020000303;750814030;N2470;1;;1
SSR_P;2019;020000303;750814030;N2500;87;3;90.19
SSR_P;2019;020000303;750814030;N2710;7;;6.45
SSR_P;2019;020000303;750814030;N3120;3;2;4.65
SSR_P;2019;020000303;750814030;NAUT;91;2;93.37
SSR_P;2019;020000303;750814030;NCINF;134;7;139.55
SSR_P;2019;020000394;020000253;M1040;0;1;0.5
SSR_P;2019;020000394;020000253;M1320;0;1;0.5
SSR_P;2019;020000394;020000253;N2450;0;1;0.49
SSR_P;2019;020000394;020000253;N2710;0;0;0.25
SSR_P;2019;020000394;020000253;N310H;1;0;1
SSR_P;2019;020000394;020000253;NAUT;1;0;1.12
SSR_P;2019;020000394;020000253;NCINF;3;0;2.18
SSR_P;2019;020000519;020000261;M1010;2;;2
SSR_P;2019;020000519;020000261;M1320;2;;2
SSR_P;2019;020000519;020000261;N241P;;3;1.2
SSR_P;2019;020000519;020000261;N2450;;1;0.2
SSR_P;2019;020000519;020000261;N2500;22;5;24.32
SSR_P;2019;020000519;020000261;N3120;;1;0.2
SSR_P;2019;020000519;020000261;NAUT;7;9;11.96
SSR_P;2019;020000519;020000261;NCINF;18;3;20.07
SSR_P;2019;020000535;020000287;M1010;0;0;0.59
SSR_P;2019;020000535;020000287;N2460;;1;0.5
SSR_P;2019;020000535;020000287;N2500;10;5;12.24
SSR_P;2019;020000535;020000287;N2710;1;;1
SSR_P;2019;020000535;020000287;N3120;;1;0.1
SSR_P;2019;020000535;020000287;NAUT;4;;4.97
SSR_P;2019;020000535;020000287;NCINF;9;1;10.45
SSR_P;2019;020000915;020003620;M1010;2;;2.03
SSR_P;2019;020000915;020003620;M1070;;1;0.5
SSR_P;2019;020000915;020003620;M1180;5;;5.27
SSR_P;2019;020000915;020003620;M1190;1;;1
SSR_P;2019;020000915;020003620;N241P;9;2;12
SSR_P;2019;020000915;020003620;N2430;1;1;1.19
SSR_P;2019;020000915;020003620;N2450;;3;2.25
SSR_P;2019;020000915;020003620;N2460;8;3;10.63
SSR_P;2019;020000915;020003620;N2500;80;;76.16
SSR_P;2019;020000915;020003620;N2710;1;1;1.6
SSR_P;2019;020000915;020003620;N310H;4;;4.92
SSR_P;2019;020000915;020003620;N3120;1;;1
SSR_P;2019;020000915;020003620;NAUT;26;1;25.46
SSR_P;2019;020000915;020003620;NCINF;48;2;47.92
SSR_P;2019;020001087;020004495;M1010;2;0;1.62
SSR_P;2019;020001087;020004495;N241P;2;0;1.87
SSR_P;2019;020001087;020004495;N2460;0;1;0.76
SSR_P;2019;020001087;020004495;N2500;14;1;14.82
SSR_P;2019;020001087;020004495;NAUT;5;1;4.48
SSR_P;2019;020001087;020004495;NCINF;11;0;10.72
SSR_P;2019;020003877;020000253;M1320;2;0;2.21
SSR_P;2019;020003877;020000253;N2500;14;0;14.33
SSR_P;2019;020003877;020000253;NAUT;3;1;5.25
SSR_P;2019;020003877;020000253;NCINF;10;0;9.13
SSR_P;2019;020010310;750719361;M1010;;3;0.76
SSR_P;2019;020010310;750719361;M3020;;1;0.04
SSR_P;2019;020010310;750719361;MAUT;;1;0.07
SSR_P;2019;020010310;750719361;N2710;;1;0.41
SSR_P;2019;020010310;750719361;N310H;;5;1.79
SSR_P;2019;020010310;750719361;N3120;;1;0.75
SSR_P;2019;020010310;750719361;NAUT;;1;0.16
SSR_P;2019;020010310;750719361;NCINF;;12;3.79
SSR_P;2019;020016341;750814030;M1010;;1;0.4
SSR_P;2019;020016341;750814030;M1150;1;;0.1
SSR_P;2019;020016341;750814030;M1180;;1;0.4
SSR_P;2019;020016341;750814030;N241P;2;;1.06
SSR_P;2019;020016341;750814030;N2430;2;;0.15
SSR_P;2019;020016341;750814030;N2460;2;;1.15
SSR_P;2019;020016341;750814030;N2470;1;;0.2
SSR_P;2019;020016341;750814030;NAUT;2;;1.28
SSR_P;2019;020016341;750814030;NCINF;2;;1.16
SSR_P;2019;030000012;030180020;M1010;1;;1
SSR_P;2019;030000012;030180020;M1180;3;;3
SSR_P;2019;030000012;030180020;MAUT;;1;0.5
SSR_P;2019;030000012;030180020;N241P;6;1;7.55
SSR_P;2019;030000012;030180020;N2430;;1;0.06
SSR_P;2019;030000012;030180020;N2450;1;0;0.1
SSR_P;2019;030000012;030180020;N2460;2;1;2.8
SSR_P;2019;030000012;030180020;N2500;18;4;20.91
SSR_P;2019;030000012;030180020;N2710;1;1;1.3
SSR_P;2019;030000012;030180020;N3120;1;0;1
SSR_P;2019;030000012;030180020;NAUT;1;1;1.8
SSR_P;2019;030000012;030180020;NCINF;16;1;16.76
SSR_P;2019;030000061;030780092;M1010;0;1;0.8
SSR_P;2019;030000061;030780092;M1180;1;0;1
SSR_P;2019;030000061;030780092;M1320;0;1;0.45
SSR_P;2019;030000061;030780092;N2500;22;2;21.42
SSR_P;2019;030000061;030780092;N2710;0;1;0.45
SSR_P;2019;030000061;030780092;N3120;0;1;0.46
SSR_P;2019;030000061;030780092;NAUT;8;3;9.39
SSR_P;2019;030000061;030780092;NCINF;18;5;18.12
SSR_P;2019;030000079;030780100;M1010;1;;0.7
SSR_P;2019;030000079;030780100;M1320;2;;1.2
SSR_P;2019;030000079;030780100;N2450;3;;0.85
SSR_P;2019;030000079;030780100;N2500;9;2;13.9
SSR_P;2019;030000079;030780100;N2710;;;0.5
SSR_P;2019;030000079;030780100;N3120;1;;0.8
SSR_P;2019;030000079;030780100;NAUT;7;;8.52
SSR_P;2019;030000079;030780100;NCINF;8;;11.09
SSR_P;2019;030000087;030780118;M1010;1;1;2.49
SSR_P;2019;030000087;030780118;M1180;;1;0.9
SSR_P;2019;030000087;030780118;M1320;3;;2.96
SSR_P;2019;030000087;030780118;N241P;0;4;3.26
SSR_P;2019;030000087;030780118;N2460;1;0;1
SSR_P;2019;030000087;030780118;N2500;35;9;38.52
SSR_P;2019;030000087;030780118;N3120;0;3;0.7
SSR_P;2019;030000087;030780118;NAUT;10;1;8.53
SSR_P;2019;030000087;030780118;NCINF;24;5;28.19
SSR_P;2019;030000095;030780126;M1010;1;;1
SSR_P;2019;030000095;030780126;M1180;;1;0.2
SSR_P;2019;030000095;030780126;MAUT;;1;0.1
SSR_P;2019;030000095;030780126;N241P;1;0;1
SSR_P;2019;030000095;030780126;N2450;;1;0.29
SSR_P;2019;030000095;030780126;N2460;1;;1
SSR_P;2019;030000095;030780126;N2500;14;2;13.34
SSR_P;2019;030000095;030780126;N310H;1;;1
