FI;FI_EJ;AN;LIT_MED;LIT_CHI;LIT_OBS;LIT_MCO;SEJHC_MED;SEJHC_CHI;SEJHC_OBS;SEJHC_MCO;JOU_MED;JOU_CHI;JOU_OBS;JOU_MCO;PLA_MED;PLA_CHI;PLA_OBS;PLA_MCO;SEJHP_MED;SEJHP_CHI;SEJHP_OBS;SEJHP_MCO;SEANCES_MED;SPED;UGER;CAP_COMPLET_GEN;CAP_COMPLET_INF;CAP_COMPLET_PEN;CAP_COMPLET_TOT;SEJ_HTP_GEN;SEJ_HTP_INF;SEJ_HTP_PEN;SEJ_HTP_TOT;CAP_HDJ_GEN;CAP_HDJ_INF;CAP_HDJ_PEN;CAP_HDJ_TOT;VEN_HDJ_GEN;VEN_HDJ_INF;VEN_HDJ_PEN;VEN_HDJ_TOT;CAP_HDN_GEN;CAP_HDN_INF;CAP_HDN_TOT;VEN_HDN_GEN;VEN_HDN_INF;VEN_HDN_TOT;NB_CATTP_GEN;NB_CATTP_INF;NB_CATTP_PEN;NB_CATTP_TOT;ACT_CATTP_GEN;ACT_CATTP_INF;ACT_CATTP_PEN;ACT_CATTP_TOT;NB_CMP_GEN;NB_CMP_INF;NB_CMP_TOT;ACT_CMP_GEN;ACT_CMP_INF;ACT_CMP_TOT;FIL_AMB_GEN;FIL_AMB_INF;FIL_AMB_PEN;FIL_AMB_TOT;FIL_TOT_GEN;FIL_TOT_INF;FIL_TOT_PEN;FIL_TOT_TOT;LIT_SSR;SEJHC_SSR;JOUHP_SSR;PLA_SSR;LIT_USLD;ENT;PLATOT_HAD;SEJ_HAD;AUTGEN;PASSU_GEN;AUTPED;PASSU_PED;GEN;PED;ANT;SAMU;REA;SEJ_REANIM;TYPE1;SEJACC;TYPE2;SEJ_NEO;TYPE3;SEJ_REA;TRT_HEMO_CENTRE;SEAN_HEMO_CENTRE;TRT_INSUFF_REN;SEM_TRT_INSUFF_REN;CHIMIO;SEAN_CHIMIO;RTH;SEAN_RADIO;CHIRCAR;CARDIO_INT;NEUROCHIR;NEURO_INT;GREFFE;AMP;PRIS;EFFSAL_SPEMED;EFFSAL_DT_MEDGEN;EFFSAL_DT_URG;EFFSAL_DT_ANESTREA;EFFSAL_SPECHI;EFFSAL_DT_GYNOBS;EFFSAL_PSY;EFFSAL_ODON;EFFSAL_PHARMA;EFFSAL_AUT;EFFSAL_TOT;EFF_INT;EFFLIB_SPEMED;EFFLIB_DT_MEDGEN;EFFLIB_DT_URG;EFFLIB_DT_ANESTREA;EFFLIB_SPECHI;EFFLIB_DT_GYNOBS;EFFLIB_PSY;EFFLIB_ODON;EFFLIB_PHARMA;EFFLIB_AUT;EFFLIB_TOT;ETPSAL_SPEMED;ETPSAL_DT_MEDGEN;ETPSAL_DT_URG;ETPSAL_DT_ANESTREA;ETPSAL_SPECHI;ETPSAL_DT_GYNOBS;ETPSAL_PSY;ETPSAL_ODON;ETPSAL_PHARMA;ETPSAL_AUT;ETPSAL_TOT;ETPINT;EFF_SAG;EFF_CAD;EFF_INFAVECSPE;EFF_INFSANSSPE;EFF_AID;EFF_ASH;EFF_PSYCHO;EFF_REEDU;EFF_SOINS;EFF_DIR;EFF_DIRSOI;EFF_AUTADM;EFF_EDU;EFF_DTSOC;EFF_PERSPHARMA;EFF_PERSLABO;EFF_PERSRADIO;EFF_AUTMEDTEC;EFF_TEC;EFF_TOT_HORS_SOINS;EFF_TOT_PNM;ETP_SAG;ETP_CAD;ETP_INFAVECSPE;ETP_INFSANSSPE;ETP_AID;ETP_ASH;ETP_PSYCHO;ETP_REEDU;ETP_SOINS;ETP_DIR;ETP_DIRSOI;ETP_AUTADM;ETP_EDU;ETP_DTSOC;ETP_PERSPHARMA;ETP_PERSLABO;ETP_PERSRADIO;ETP_AUTMEDTEC;ETP_TEC;ETP_TOT_HORS_SOINS;ETP_TOT_PNM;NB_SCAN;ACT_SCAN;NB_IRM;ACT_IRM;NB_CAM;ACT_CAM;NB_TOMO;ACT_TOMO;SAL_INTERV;POST_REVEIL;BOR
220022149;220000020;2023;;;;;0;0;0;0;0;0;0;0;;;;;0;0;0;0;1146;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;2;0;0;0;0;0;0;0;0;0;2;;0;0;0;0;0;0;0;0;0;0;0;0.4;0;0;0;0;0;0;0;0;0;0.4;0;0;0;0;2;1;0;0;0;3;0;0;0;0;0;0;0;0;0;0;0;3;0;0;0;0.9;0.59;0;0;0;1.49;0;0;0;0;0;0;0;0;0;0;0;1.49;;;;;;;;;;;SYGEN
220022800;220000673;2023;46;70;26;142;1746;5669;1071;8486;13228;15078;4936;33242;0;50;0;50;117;18485;29;18631;11954;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;622;0;897;1;265;0;0;;;;;1;11954;0;0;0;0;0;0;0;0;1;5;1;0;1;5;5;0;0;3;1;14;3;33;0;0;15;55;7;0;0;0;0;88;4.4;0.7;0;0.9;3;3;0;0;3;0.8;11.2;2;22;13;22;150;78;20;3;3;311;4;1;65;1;1;33;0;0;0;18;122;433;13.42;12.71;17.11;136.35;66.67;18.64;1.7;1.48;268.08;4.1;1;54.04;0.56;0.56;28.75;0;0;0;16.51;104.96;373.04;;;;;;;;;15;22;SYGEN
230000820;230780041;2023;138;35;17;190;6164;1763;734;8661;41938;8757;2572;53267;14;5;1;20;1062;1014;186;2262;4941;1;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;24;273;0;0;;;;;1;20141;0;0;1;0;0;1;1;902;0;445;1;202;0;0;;;;;1;1033;1;3900;0;1;0;0;0;0;1;60;20;0;7;15;3;0;3;3;5;86;25;0;0;0;0;0;0;0;0;0;0;0;48.33;15.74;0;6.67;11.48;2.89;0;2.97;3.08;5.05;70.91;24.75;15;13;25;168;186;60;3;6;476;2;1;115;7;5;8;27;21;1;95;277;753;15.47;12.54;25.29;163.59;183.95;63.77;2;5.08;471.69;2.05;1;109.63;5.57;4.48;7.84;27.09;19.33;1;95.7;269.21;740.9;1;0;1;0;0;0;0;0;5;5;SYGEN
230000846;230780066;2023;20;;;20;485;0;0;485;5093;0;0;5093;6;;;6;63;0;0;63;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;33;377;0;0;30;21;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;8;6;0;0;1;1;0;0;1;1;11;4;0;0;0;0;0;0;0;0;0;0;0;5.29;5.22;0;0;0.25;0.25;0;0;1;0.8;7.34;1.45;0;2;0;35;54;16;1;3;111;4;1;15;2;1;3;0;5;0;35;65;176;0;1.42;0;27.79;44.64;16.1;1;2.41;93.36;2.99;0.8;12.61;2;1;3;0;2.23;0;30.9;54.53;147.89;;;;;;;;;;;SYGEN
230000853;230780074;2023;;;;;0;0;0;0;0;0;0;0;10;;;10;1141;0;0;1141;;;;108;8;0;116;829;1;0;830;97;34;;131;9951;1089;;11040;2;;2;23;0;23;10;;;10;2562;;;2562;8;4;12;25394;5028;30422;3794;536;121;4416;4674;576;130;5344;10;29;0;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;0;0;0;0;0;8;0;1;0;10;1;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;6.35;0;1.13;0;8.48;1.87;0;9;5;142;64;23;19;7;269;2;0;45;20;7;4;0;0;0;50;121;390;0;8.43;3.62;142.85;59.41;20.88;15.12;5.84;256.15;2;0;42.89;19.97;6.97;3.97;0;0;0;50.72;119.55;375.7;;;;;;;;;;;SYGEN
230004657;230780058;2023;28;0;0;28;1516;0;0;1516;8149;0;0;8149;0;5;0;5;0;464;0;464;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;7131;0;0;;;;;0;;;;;;;;;;;;0;;0;;0;0;0;0;0;;;10;1;5;1;0;0;0;0;0;0;10;2;0;0;0;0;0;0;0;0;0;0;0;6.7;1;3.64;0.4;0;0;0;0;0;0;6.7;1.25;0;2;3;22;21;13;0;0;61;0;0;8;1;1;0;0;5;0;2;16;77;0;2;0.14;18.89;21.3;10.15;0;0;52.48;0;0;7.3;0.7;0.7;0;0;3.99;0;1.12;13.11;65.59;1;0;1;0;0;0;0;0;2;1;SYGEN
230780082;750005068;2023;34;;;34;889;0;0;889;7542;0;0;7542;9;;;9;2096;0;0;2096;2935;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;131;1467;2431;20;;;;;;;;;;;;;1;170;;;;;;;;;;;1;2935;0;0;0;0;0;0;0;;;16;4;0;0;0;0;1;0;2;1;20;1;0;0;0;0;0;0;0;0;0;0;0;12.58;3.23;0;0;0;0;0.2;0;1.48;0.58;14.84;2.3;0;7;1;67;71;34;2;14;196;1;1;35;2;2;4;2;2;0;64;111;307;0;5.36;0.33;60.43;47.44;25.25;1.45;11.63;151.89;0.92;0.92;27.94;1.23;1.23;4.34;2;2;0;56.2;95.55;247.44;0;0;0;0;0;0;0;0;2;0;SYGEN
230780157;230000861;2023;4;21;;25;17;822;0;839;4;2680;0;2684;0;21;;21;0;4308;0;4308;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0;0;0;0;0;0;0;0;0;0;0;;9;2;0;2;19;1;0;0;0;0;28;0;0;0;0;0;0;0;0;0;0;0;0;0;3;1;23;13;11;0;0;51;5;0;13;0;0;0;0;0;0;4;22;73;0;2.8;1;20.8;13;9.8;0;0;47.4;2.9;0;11.6;0;0;0;0;0;0;1.35;15.85;63.25;;;;;;;;;4;6;SYGEN
240000174;240000042;2023;10;0;0;10;132;0;0;132;2274;0;0;2274;0;0;0;0;0;0;0;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;25;268;0;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;4;4;0;0;0;0;0;0;6;1;11;;0;0;0;0;0;0;0;0;0;0;0;1.12;1.12;0;0;0;0;0;0;0.8;0.01;1.93;0;0;1;0;13;28;17;1;3;63;1;0;10;2;2;3;0;0;0;9;25;88;0;0.15;0;8.02;19.27;11.74;0.6;2.06;41.84;0.7;0;4.29;0.31;0.31;1.54;0;0;0;8.98;15.82;57.66;;;;;;;;;;;SYGEN
240000190;240000596;2023;46;60;0;106;2253;3763;0;6016;10946;13669;0;24615;;41;0;41;0;9055;5;9060;7525;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;12307;0;0;;;;;1;1591;0;0;0;0;0;0;;;;;1;7525;0;0;0;0;0;0;0;1;1;9;0;6;0;0;0;0;0;2;1;12;;41;0;0;10;28;4;0;0;0;2;71;6.61;0;4.31;0;0;0;0;0;2.27;0.39;9.27;0;0;13;34;132;89;40;3;2;313;3;1;44;2;1;15;0;0;4;7;76;389;0;13.43;31.16;127.81;85.07;37.46;1.66;1.37;297.96;4.42;1;42.02;0.9;0.5;11.56;0;0;3.83;6.5;70.23;368.19;2;0;2;0;2;0;1;0;11;17;SYGEN
240000208;240000612;2023;4;62;;66;1;871;0;872;8;2613;0;2621;;11;;11;0;6476;0;6476;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;30;478;2088;4;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0;0;0;0;0;0;0;0;0;0;0;;9;0;0;3;11;0;0;0;0;0;20;0;0;0;0;0;0;0;0;0;0;0;0;0;3;0;38;26;27;1;1;96;1;1;20;0;0;0;0;0;0;0;22;118;0;3;0;36.63;23.2;29.82;0.5;1;94.15;1;1;21.05;0;0;0;0;0;0;0;23.05;117.2;;;;;;;;;9;12;SYGEN
240000216;240000620;2023;;30;;30;0;1235;0;1235;0;4005;0;4005;;24;;24;0;7363;0;7363;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0;0;0;0;0;0;0;0;1;0;1;;8;0;0;4;19;0;0;0;0;0;27;0;0;0;0;0;0;0;0;1;0;1;0;0;2;4;26;13;13;0;0;58;2;0;9;0;0;1;0;0;5;7;24;82;0;2;2.7;24;13;12.19;0;0;53.89;1.56;0;8.31;0;0;1;0;0;4.68;5.61;21.16;75.05;;;;;;;;;7;8;SYGEN
240000372;240000059;2023;94;32;15;141;8944;1701;1162;11807;32433;7970;2935;43338;14;9;0;23;1036;1382;0;2418;698;1;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;49;33;;;1;27409;0;0;1;0;0;0;1;444;1;612;0;0;0;0;;;;;1;698;0;0;0;0;0;0;0;0;1;50;11;12;5;12;6;0;0;7;6;75;17;10;1;0;0;13;4;1;0;0;2;26;34.91;8.64;9.29;4.98;10.83;4.3;0;0;5.55;1.77;53.06;19.34;20;10;23;156;187;63;5;9;473;5;1;92;3;3;5;16;17;2;89;230;703;20.01;10.87;22.18;145.27;174.3;60.63;3.72;7.78;444.76;4.64;1;85.91;2.9;2.9;4.96;15.96;17.42;0.81;79.32;212.92;657.68;1;0;1;0;0;0;0;0;6;12;SYGEN
240000414;240000067;2023;10;0;0;10;240;0;0;240;2191;0;0;2191;1;0;0;1;3;0;0;3;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;21;302;26;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;2;1;0;0;0;0;0;0;1;0;3;;0;0;0;0;0;0;0;0;0;0;0;1.09;0.09;0;0;0;0;0;0;0.8;0;1.89;0;0;1;0;10;25;7;1;4;48;0;0;8;1;1;3;0;0;0;35;47;95;0;1;0;8.91;20.88;6.88;0.5;3.22;41.39;0;0;7.72;0.35;0.35;2;0;0;0;27.74;37.81;79.2;;;;;;;;;;;SYGEN
240000455;240000075;2023;10;;;10;144;0;0;144;1774;0;0;1774;;;;;0;0;0;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;39;287;37;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;3;3;0;0;0;0;0;0;2;0;5;;0;0;0;0;0;0;0;0;0;0;0;2.23;2.23;0;0;0;0;0;0;0.41;0;2.64;0;0;2;0;12;19;25;1;5;64;1;0;11;1;1;3;0;0;0;15;31;95;0;1.5;0;9.52;16.78;7.91;0.41;2.68;38.8;0.6;0;6.99;1;1;1.24;0;0;0;5.22;15.05;53.85;;;;;;;;;;;SYGEN
240000463;240000083;2023;5;0;0;5;245;0;0;245;3447;0;0;3447;;;;;0;0;0;0;;;;163;6;0;169;1397;99;0;1496;77;39;0;116;14101;6065;0;20166;0;0;0;0;0;0;4;3;;7;14183;1387;;15570;14;12;26;44394;15567;59961;5249;1643;967;7773;6468;1836;974;9188;20;154;0;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;16;11;0;0;0;0;16;0;1;1;34;4;0;0;0;0;0;0;0;0;0;0;0;10.32;7.63;0;0;0;0;16.12;0;1.17;1;28.61;1.78;0;17;0;255;106;80;48;24;530;4;1;79;55;10;4;0;0;0;103;246;776;0;18.46;0;243.15;112.87;77.74;43.5;16.32;512.04;4.83;1;75.42;50.2;8.52;4;0;0;0;100.84;236.29;748.33;;;;;;;;;;;SYGEN
240000471;240000109;2023;4;;;4;55;0;0;55;1294;0;0;1294;;;;;0;0;0;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;28;146;0;0;30;28;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;2;2;0;0;0;0;0;0;2;0;4;;0;0;0;0;0;0;0;0;0;0;0;1.26;1.26;0;0;0;0;0;0;0.35;0;1.61;0;0;0;0;11;22;3;1;3;40;0;0;10;1;1;1;0;1;0;34;47;87;0;0;0;8.27;21.05;4.81;0.29;1.83;36.25;0;0;9.69;0.64;0.64;1.2;0;0.8;0;31.01;43.34;79.59;;;;;;;;;;;SYGEN
240000489;240000117;2023;329;73;34;436;18938;2877;2698;24513;105000;18335;7982;131317;44;20;0;64;3545;4423;0;7968;8612;1;1;75;0;0;75;1318;;;1318;20;12;;32;2165;896;;3061;;;;;;;1;2;;3;4448;3543;;7991;4;9;13;19480;13408;32888;3214;1381;131;4671;3943;1416;131;5436;39;175;3272;12;60;52;49;1173;1;43234;0;0;1;0;0;1;1;3442;0;1398;1;478;0;0;;;;;1;8612;0;0;1;1;0;0;0;0;1;147;27;16;14;34;11;13;3;12;16;225;90;5;0;0;0;2;0;0;0;0;0;7;136.99;24.58;18.29;14.15;29.45;9.3;10.98;2.5;9.77;11.2;200.89;86.37;40;48;73;579;598;229;40;35;1642;10;2;259;21;13;16;34;32;1;318;693;2335;36.5;45.56;68.39;553.69;578.89;221.58;34.77;30.62;1570;9.38;2;236.69;19.87;13.14;15.19;33.56;31.26;1;307.94;656.89;2226.89;2;1;2;1;0;0;0;0;12;18;SYGEN
240000505;240016055;2023;25;;;25;215;0;0;215;3799;0;0;3799;4;;;4;3;0;0;3;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;60;22;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;2;2;0;0;0;0;0;0;2;0;4;;0;0;0;0;0;0;0;0;0;0;0;1.8;1.8;0;0;0;0;0;0;1.9;0;3.7;0;0;1;0;14;32;7;0;0;54;2;0;17;1;1;6;0;0;0;23;49;103;0;1;0;13;26.8;4;0;0;44.8;0.38;0;3.24;0.5;0.5;2.46;0;0;0;4.45;11.03;55.83;;;;;;;;;;;SYGEN
240000687;240000448;2023;73;0;15;88;2795;0;348;3143;15950;0;750;16700;3;5;0;8;32;1162;0;1194;;;1;25;;;25;231;;;231;10;;;10;1485;;;1485;4;;4;0;;0;1;;;1;76;;;76;2;;2;6065;;6065;1144;;;1144;1356;;;1356;30;281;0;0;40;20;30;211;1;11081;0;0;1;0;0;0;1;593;1;160;0;0;0;0;;;;;0;;0;;0;0;0;0;0;0;1;22;6;6;5;2;1;3;0;3;0;30;4;1;0;0;0;4;0;0;0;0;0;5;22.77;9.46;3.99;5.43;2.07;0.59;4.94;0;1.19;0;30.97;1.69;6;11;9;150;177;66;4;4;427;0;0;81;5;3;5;0;14;3;26;134;561;5.19;9.28;6.1;148.57;172.83;64.94;3.3;3.73;413.94;0;0;76.83;4.24;2.24;4.14;0;13.75;2.6;23.73;125.29;539.23;1;0;1;0;0;0;0;0;8;10;SYGEN
240017046;240000083;2023;;;;;0;0;0;0;0;0;0;0;10;;;10;2669;0;0;2669;;;;15;;0;15;189;;0;189;0;;0;0;0;;0;0;0;;0;0;;0;0;;;0;0;;;0;2;;2;5198;;5198;1395;;229;1613;1563;;229;1781;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;SYGEN
250000023;250000015;2023;14;0;0;14;1220;0;0;1220;3532;0;0;3532;8;0;0;8;2315;0;0;2315;;;;18;15;;33;187;256;;443;5;;;5;110;;;110;;;;;;;0;1;;1;0;1305;;1305;0;0;0;0;0;0;18;34;;34;181;91;;272;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;10;3;0;0;1;0;4;0;1;2;18;7;0;0;0;0;0;0;0;0;0;0;0;5.8;2.5;0;0;0.5;0;3.1;0;1;1;11.4;6.28;0;6;1;61;29;17;13;2;129;0;0;12;6;3;0;0;0;2;39;59;188;0;4.66;1.31;54.59;26.43;14.81;5.5;1.67;108.97;0;0;9.38;3.98;2.66;0;0;0;1.2;34.62;49.18;158.15;;;;;;;;;;;SYGEN
250000270;250000643;2023;32;57;;89;2887;5008;0;7895;9380;11615;0;20995;16;44;;60;3857;16067;0;19924;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;50;554;2616;10;;;;;;;;;;;;;1;1835;;;;;;;;;;;0;0;0;0;0;1;0;0;0;;;7;6;0;0;0;0;0;0;2;0;9;5;67;0;0;13;36;0;0;0;0;4;107;3.25;2.42;0;0;0;0;0;0;2.36;0;5.61;5;0;6;7;155;112;68;3;4;355;6;1;42;5;4;13;0;0;0;12;79;434;0;6.78;4.89;120.4;79.72;52.34;1.51;2.2;267.84;4.6;0.94;37.54;3;1.94;11.63;0;0;0;10.68;68.39;336.23;1;0;1;0;2;0;0;0;18;28;SYGEN
250000627;250000221;2023;20;0;0;20;438;0;0;438;4833;0;0;4833;5;0;0;5;19;0;0;19;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;24;289;0;0;30;21;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;0;0;0;0;0;0;0;2;0;3;;0;0;0;0;0;0;0;0;0;0;0;0.17;0;0;0;0;0;0;0;1.46;0.24;1.87;0;0;2;0;20;36;17;1;5;81;0;0;14;1;1;2;0;0;0;28;45;126;0;2;0;16.66;31.64;15.72;0.45;3.88;70.35;0;0;12.45;0.7;0.7;2;0;0;0;27.66;42.81;113.16;;;;;;;;;;;SYGEN
250000635;250000239;2023;10;0;0;10;214;0;0;214;3427;0;0;3427;0;0;0;0;0;0;0;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;28;175;159;6;20;20;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;2;2;0;0;0;0;0;0;0;0;2;1;14;14;0;0;0;0;0;0;0;0;14;0.2;0.2;0;0;0;0;0;0;0;0;0.2;0.99;0;2;0;11;37;8;1;3;62;1;0;11;2;1;1;0;0;0;29;44;106;0;1.95;0;11.53;33.33;7.63;1.18;3.08;58.7;1;0;10.75;1.26;0.8;1.42;0;0;0;26.82;41.25;99.95;;;;;;;;;;;SYGEN
250000700;250000452;2023;98;30;28;156;5974;2221;1577;9772;31804;7893;4461;44158;7;10;1;18;2547;2975;329;5851;2463;1;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;29634;0;0;1;0;0;0;1;311;0;1025;1;184;0;0;;;;;1;2463;0;0;0;0;0;0;0;0;1;62;13;14;9;20;7;1;0;4;4;91;31;2;0;0;0;2;0;0;0;0;0;4;47.59;11.66;7.6;8.06;18.74;6.49;0.06;0;3.83;2.9;73.12;29.28;29;8;40;164;125;74;9;16;465;6;1;105;6;2;15;15;16;0;164;328;793;25.18;6.67;31.66;138.51;108.56;67.98;5.58;8.52;392.66;4.77;0.5;87.5;4.77;1.98;12.14;12.1;11.44;0;123.52;256.74;649.4;2;0;1;0;0;0;0;0;10;12;SYGEN
250000718;250000460;2023;8;;;8;112;0;0;112;1968;0;0;1968;0;;;0;0;0;0;0;;;;238;7;;245;1492;176;;1668;37;52;;89;5499;2904;;8403;7;;7;10;;10;7;11;;18;3685;1012;;4697;22;17;39;37395;27105;64500;5216;2544;;7728;6409;2786;;9142;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;11;7;0;0;0;0;43;0;3;0;57;8;0;0;0;0;0;0;0;0;0;0;0;6.54;5.99;0;0;0;0;36.51;0;2.6;0;45.65;8.75;1;26;7;282;98;80;57;12;563;3;1;65;26;8;8;0;1;0;69;173;736;0.5;24.68;5.45;264.1;91.1;74.9;44.16;7.22;512.11;1.77;1;59.94;23.35;6.55;7.12;0;1;0;65.54;159.72;671.83;;;;;;;;;;;SYGEN
250000726;250000478;2023;6;0;0;6;87;0;0;87;1158;0;0;1158;0;0;0;0;0;0;0;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;35;257;0;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;2;2;0;0;0;0;0;0;2;0;4;;0;0;0;0;0;0;0;0;0;0;0;1.27;1.27;0;0;0;0;0;0;1.16;0;2.43;0;0;0;0;21;61;36;2;0;120;1;0;12;7;1;0;0;0;2;13;35;155;0;0;0;16.77;53.52;32.13;1.1;0;103.52;0.73;0;11.45;5.68;0.9;0;0;0;1.4;12.15;31.41;134.93;;;;;;;;;;;SYGEN
250000734;250000452;2023;6;;;6;107;0;0;107;1043;0;0;1043;;;;;0;0;0;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;7;94;0;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;2;2;0;0;0;0;0;0;0;0;2;;0;0;0;0;0;0;0;0;0;0;0;0.71;0.71;0;0;0;0;0;0;0;0;0.71;0;0;0;0;6;3;2;0;1;12;0;0;1;0;0;0;0;0;0;2;3;15;0;0;0;6.21;1.79;2;0;0.16;10.16;0;0;0.35;0;0;0;0;0;0;0.7;1.05;11.21;;;;;;;;;;;SYGEN
250004009;900000365;2023;24;0;0;24;937;0;0;937;6661;0;0;6661;0;0;0;0;115;0;0;115;35156;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;123;948;0;0;30;19;;;;;;;;;;;0;;;;;;;;;;;;1;10749;1;24153;0;0;0;0;0;;;9;1;0;0;0;0;0;0;0;0;9;5;0;0;0;0;0;0;0;0;0;0;0;8.75;0.9;0;0;0;0;0;0;0;0;8.75;4.58;0;5;0;69;85;40;5;0;204;0;0;18;4;0;0;0;17;4;3;46;250;0;5;0;67.61;81.2;30.97;2.69;0;187.47;0;0;17.72;1.55;0;0;0;17.5;4;2.4;43.17;230.64;1;0;1;0;0;0;0;0;;;SYGEN
250006954;250000015;2023;548;268;70;886;30293;13166;4371;47830;183113;71808;18087;273008;121;33;14;168;15558;8091;2192;25841;68320;1;1;0;0;0;0;;;;;;;;;;;;;;;;;;;;;;;;;;;6;4;10;3670;3449;7119;906;875;32;1776;987;928;32;1908;;;;;;;;;1;68130;1;20423;1;0;0;1;1;11815;0;2636;0;845;1;207;1;11377;1;5326;1;26029;1;28848;1;1;1;1;1;1;1;434;39;37;61;110;17;29;7;68;35;683;531;0;0;0;0;0;0;0;0;0;0;0;310.03;28.86;32.09;49.22;87.64;13.61;21.51;3.4;56.33;24.53;503.44;445.99;82;85;273;1159;850;458;50;97;3054;15;1;671;36;16;29;200;128;22;607;1709;4763;71.23;84.79;244.7;1051.36;790.38;426.21;41.73;71.93;2782.33;14.02;1.79;614.5;32.65;14.96;28.39;181.84;118.7;20.9;571.53;1584.32;4366.65;3;1;2;0;3;0;2;0;45;96;SYGEN
250011848;690046347;2023;6;37;24;67;214;2870;1032;4116;1273;6418;3057;10748;25;33;0;58;971;14389;0;15360;1494;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;287;1;816;0;0;0;0;;;;;1;1494;0;0;0;0;0;0;0;1;0;15;1;0;0;0;0;0;0;2;0;17;;49;0;0;11;39;9;0;0;0;0;88;3.1;0.8;0;0;0;0;0;0;1.8;0;4.9;0;18;5;34;29;32;32;2;2;154;6;2;26;0;0;8;0;0;15;17;74;228;13.4;4.6;42.4;27.1;35.5;30;1.5;1.5;156;5.1;1.33;22.2;0;0;7.3;0;0;11.5;15.7;63.13;219.13;2;0;2;0;0;0;0;0;14;24;SYGEN
